"viikko";"Työttömyysturva 2022";"Työttömyysturva 2023";"Työttömyysturva ero %";"Yleinen asumistuki 2022";"Yleinen asumistuki 2023";"Yleinen asumistuki ero %";"Perustoimeentulotuki 2022";"Perustoimeentulotuki 2023";"Perustoimeentulotuki ero %";"Sairauspäiväraha 2022";"Sairauspäiväraha 2023";"Sairauspäiväraha ero %";"Tartuntatautipäiväraha 2022";"Tartuntatautipäiväraha 2023";"Tartuntatautipäiväraha ero %"
"35";"7896";"8327";"5,500000000000000";"21452";"20207";"-5,80000000000000";"25312";"25454";"0,599999999999994";"13051";"13697";"4,9000000000000057";"8419";"9";"-99,9"
"36";"6030";"6245";"3,599999999999994";"15563";"16061";"3,20000000000000";"21229";"22303";"5,099999999999994";"11678";"11789";"1,0000000000000000";"6891";"11";"-99,8"
"37";"5964";"5802";"-2,700000000000003";"14624";"12571";"-14,00000000000000";"29476";"28624";"-2,900000000000006";"13697";"14069";"2,7000000000000028";"6933";"5";"-99,9"
"38";"6651";"6133";"-7,799999999999997";"10309";"12628";"22,50000000000000";"30626";"33680";"10,000000000000000";"12203";"13470";"10,4000000000000057";"6340";"8";"-99,9"
"39";"5654";"5978";"5,700000000000003";"13947";"14375";"3,09999999999999";"24588";"26627";"8,299999999999997";"13157";"14522";"10,4000000000000057";"6372";"9";"-99,9"
"40";"5642";"5817";"3,099999999999994";"18939";"15278";"-19,30000000000000";"21593";"22573";"4,500000000000000";"12838";"14524";"13,0999999999999943";"5321";"10";"-99,8"
"41";"5515";"6170";"11,900000000000006";"15766";"11509";"-27,00000000000000";"25202";"24503";"-2,799999999999997";"15408";"14671";"-4,7999999999999972";"6304";"11";"-99,8"
"42";"5540";"5740";"3,599999999999994";"11280";"11018";"-2,30000000000000";"30898";"31830";"3,000000000000000";"13756";"12234";"-11,0999999999999943";"5971";"8";"-99,9"
"43";"4785";"5415";"13,200000000000003";"13657";"12252";"-10,30000000000000";"24709";"27339";"10,599999999999994";"13254";"12913";"-2,5999999999999943";"6783";"3";"-100,0"
"44";"6301";"7318";"16,099999999999994";"16002";"17249";"7,80000000000000";"22664";"24937";"10,000000000000000";"12961";"13219";"2,0000000000000000";"6604";"10";"-99,8"
"45";"5412";NA;NA;"10616";NA;NA;"20957";NA;NA;"13466";NA;NA;"6485";NA;NA
"46";"6211";NA;NA;"10664";NA;NA;"30025";NA;NA;"14207";NA;NA;"7269";NA;NA
"47";"5476";NA;NA;"11684";NA;NA;"27489";NA;NA;"12584";NA;NA;"7244";NA;NA
"48";"5797";NA;NA;"17193";NA;NA;"25952";NA;NA;"16124";NA;NA;"7182";NA;NA
"49";"6361";NA;NA;"11233";NA;NA;"21619";NA;NA;"9019";NA;NA;"4650";NA;NA
"50";"5679";NA;NA;"12227";NA;NA;"33867";NA;NA;"15728";NA;NA;"7916";NA;NA
"51";"8983";NA;NA;"11082";NA;NA;"27980";NA;NA;"13704";NA;NA;"7401";NA;NA
"52";"6085";NA;NA;"15133";NA;NA;"21071";NA;NA;"11051";NA;NA;"6719";NA;NA
