alue;aikaisempi;myohempi;muutos (%)
Etelä-Karjala;42;32;-23,8
Etelä-Pohjanmaa;98;134;36,7
Etelä-Savo;85;70;-17,6
Kainuu;13;10;-23,1
Kanta-Häme;92;75;-18,5
Keski-Pohjanmaa;57;45;-21,1
Keski-Suomi;215;242;12,6
Kymenlaakso;33;39;18,2
Lappi;64;126;96,9
Pirkanmaa;166;200;20,5
Pohjanmaa;327;418;27,8
Pohjois-Karjala;41;118;187,8
Pohjois-Pohjanmaa;101;130;28,7
Pohjois-Savo;39;339;769,2
Päijät-Häme;122;85;-30,3
Satakunta;52;26;-50,0
Uusimaa;999;1360;36,1
Varsinais-Suomi;184;297;61,4
