alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Pirkanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;14509;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;214;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;157;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4587;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;2680;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;289;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;215;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;6024;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4121;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;820;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;598;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;11727;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;7986;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;461;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;370;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;9580;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;6470;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;398;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;316;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;9771;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;6613;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;410;Saajat
Satakunta;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;308;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;5554;Saajat
Satakunta;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;3906;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;3333;Saajat
Uusimaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;2579;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;83532;Saajat
Uusimaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;51238;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;803;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;626;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;16020;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;10277;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;211;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;163;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4361;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;3051;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;316;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;235;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4728;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;3181;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;206;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;168;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4436;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;3111;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;114;Saajat
Kainuu;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;72;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;1921;Saajat
Kainuu;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;1397;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;310;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;213;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;6541;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4331;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;112;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;87;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;1445;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;967;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;521;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;399;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;11035;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;7612;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;242;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;201;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;6308;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4346;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;247;Saajat
Lappi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;204;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4868;Saajat
Lappi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;3236;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;957;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;747;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;21575;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;14729;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;218;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;172;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4568;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;2663;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;318;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;234;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;6070;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;4138;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;752;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;522;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;11800;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;8027;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;506;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;387;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;9644;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;6559;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;376;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;298;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;9772;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;6618;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;356;Saajat
Satakunta;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;287;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;5575;Saajat
Satakunta;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;3944;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;2941;Saajat
Uusimaa;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;2175;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;83768;Saajat
Uusimaa;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;51490;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;803;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;597;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;15894;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;10327;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;297;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;266;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4362;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;3074;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;351;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;292;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4719;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;3196;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;239;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;210;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4313;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;3044;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;155;Saajat
Kainuu;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;125;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;1936;Saajat
Kainuu;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;1439;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;344;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;287;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;6489;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4321;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;138;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;109;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;1457;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;982;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;707;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;620;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;11318;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;7847;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;407;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;336;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;6494;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4469;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;462;Saajat
Lappi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;379;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4949;Saajat
Lappi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;3295;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;1211;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;1050;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;21901;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;15030;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;268;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;208;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4588;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;2712;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;503;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;437;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;6158;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4284;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;1086;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;881;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;12008;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;8274;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;635;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;570;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;9718;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;6652;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;492;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;418;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;9844;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;6735;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;445;Saajat
Satakunta;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;354;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;5701;Saajat
Satakunta;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;4050;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;3878;Saajat
Uusimaa;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;3168;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;85414;Saajat
Uusimaa;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;52711;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;963;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;835;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;16142;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;10433;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;265;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;213;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4343;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;3113;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;313;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;222;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4627;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;3204;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;230;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;191;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4307;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;3096;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;165;Saajat
Kainuu;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;126;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;1955;Saajat
Kainuu;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;1440;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;343;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;277;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;6550;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4424;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;138;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;91;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;1430;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;994;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;653;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;542;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;11253;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;7966;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;341;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;288;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;6513;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4533;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;377;Saajat
Lappi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;302;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;5005;Saajat
Lappi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;3422;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;1050;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;882;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;21927;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;15228;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;248;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;187;Saajakotitaloudet
Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4589;Saajat
Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;2742;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;378;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;310;Saajakotitaloudet
Pohjois-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;6275;Saajat
Pohjois-Karjala;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4414;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;858;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;691;Saajakotitaloudet
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;12110;Saajat
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;8437;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;547;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;475;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;9733;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;6771;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;435;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;368;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;10021;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;6867;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;395;Saajat
Satakunta;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;308;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;5715;Saajat
Satakunta;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;4072;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;3645;Saajat
Uusimaa;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;2789;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;86284;Saajat
Uusimaa;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;53596;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;897;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;713;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;16323;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;10694;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;160;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;126;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;3721;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;2676;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;211;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;158;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;3998;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;2746;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;188;Saajat
