alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Pohjois-Pohjanmaa;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;6722;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;453;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;360;Saajakotitaloudet
Pohjois-Savo;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;8466;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;5835;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;375;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;316;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;8555;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;5817;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;337;Saajat
Satakunta;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;249;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;4679;Saajat
Satakunta;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;3335;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;2995;Saajat
Uusimaa;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;2284;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;72017;Saajat
Uusimaa;Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;45171;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;667;Saajat
