etuus;vuosi;kuukausi;ikaluokka;sukupuoli;paiva;variable;val
Työttömyysturva;2019;3;yli 54;kaikki;2019-03-01;aiemmin tukea saaneet;35334
Työttömyysturva;2019;3;18-24;miehet;2019-03-01;aiemmin tukea saaneet;13887
Työttömyysturva;2019;3;25-34;miehet;2019-03-01;aiemmin tukea saaneet;28941
Työttömyysturva;2019;3;35-44;miehet;2019-03-01;aiemmin tukea saaneet;23236
Työttömyysturva;2019;3;45-54;miehet;2019-03-01;aiemmin tukea saaneet;23126
Työttömyysturva;2019;3;yli 54;miehet;2019-03-01;aiemmin tukea saaneet;18993
Työttömyysturva;2019;3;18-24;naiset;2019-03-01;aiemmin tukea saaneet;11111
Työttömyysturva;2019;3;25-34;naiset;2019-03-01;aiemmin tukea saaneet;26227
Työttömyysturva;2019;3;35-44;naiset;2019-03-01;aiemmin tukea saaneet;23894
Työttömyysturva;2019;3;45-54;naiset;2019-03-01;aiemmin tukea saaneet;21141
Työttömyysturva;2019;3;yli 54;naiset;2019-03-01;aiemmin tukea saaneet;16341
Työttömyysturva;2019;3;18-24;kaikki;2019-03-01;uudet saajat;1937
Työttömyysturva;2019;3;25-34;kaikki;2019-03-01;uudet saajat;2159
Työttömyysturva;2019;3;35-44;kaikki;2019-03-01;uudet saajat;1300
Työttömyysturva;2019;3;45-54;kaikki;2019-03-01;uudet saajat;912
Työttömyysturva;2019;3;yli 54;kaikki;2019-03-01;uudet saajat;642
Työttömyysturva;2019;3;18-24;miehet;2019-03-01;uudet saajat;1070
Työttömyysturva;2019;3;25-34;miehet;2019-03-01;uudet saajat;1036
Työttömyysturva;2019;3;35-44;miehet;2019-03-01;uudet saajat;599
Työttömyysturva;2019;3;45-54;miehet;2019-03-01;uudet saajat;453
Työttömyysturva;2019;3;yli 54;miehet;2019-03-01;uudet saajat;339
Työttömyysturva;2019;3;18-24;naiset;2019-03-01;uudet saajat;867
Työttömyysturva;2019;3;25-34;naiset;2019-03-01;uudet saajat;1123
Työttömyysturva;2019;3;35-44;naiset;2019-03-01;uudet saajat;701
Työttömyysturva;2019;3;45-54;naiset;2019-03-01;uudet saajat;459
Työttömyysturva;2019;3;yli 54;naiset;2019-03-01;uudet saajat;303
Työttömyysturva;2019;4;18-24;kaikki;2019-04-01;aiemmin tukea saaneet;24740
Työttömyysturva;2019;4;25-34;kaikki;2019-04-01;aiemmin tukea saaneet;54566
Työttömyysturva;2019;4;35-44;kaikki;2019-04-01;aiemmin tukea saaneet;46928
Työttömyysturva;2019;4;45-54;kaikki;2019-04-01;aiemmin tukea saaneet;43939
Työttömyysturva;2019;4;yli 54;kaikki;2019-04-01;aiemmin tukea saaneet;35436
Työttömyysturva;2019;4;18-24;miehet;2019-04-01;aiemmin tukea saaneet;13875
Työttömyysturva;2019;4;25-34;miehet;2019-04-01;aiemmin tukea saaneet;28768
Työttömyysturva;2019;4;35-44;miehet;2019-04-01;aiemmin tukea saaneet;23268
Työttömyysturva;2019;4;45-54;miehet;2019-04-01;aiemmin tukea saaneet;22955
Työttömyysturva;2019;4;yli 54;miehet;2019-04-01;aiemmin tukea saaneet;19067
Työttömyysturva;2019;4;18-24;naiset;2019-04-01;aiemmin tukea saaneet;10865
Työttömyysturva;2019;4;25-34;naiset;2019-04-01;aiemmin tukea saaneet;25798
Työttömyysturva;2019;4;35-44;naiset;2019-04-01;aiemmin tukea saaneet;23660
Työttömyysturva;2019;4;45-54;naiset;2019-04-01;aiemmin tukea saaneet;20984
Työttömyysturva;2019;4;yli 54;naiset;2019-04-01;aiemmin tukea saaneet;16369
Työttömyysturva;2019;4;18-24;kaikki;2019-04-01;uudet saajat;2003
Työttömyysturva;2019;4;25-34;kaikki;2019-04-01;uudet saajat;2228
Työttömyysturva;2019;4;35-44;kaikki;2019-04-01;uudet saajat;1301
Työttömyysturva;2019;4;45-54;kaikki;2019-04-01;uudet saajat;964
Työttömyysturva;2019;4;yli 54;kaikki;2019-04-01;uudet saajat;660
Työttömyysturva;2019;4;18-24;miehet;2019-04-01;uudet saajat;1089
Työttömyysturva;2019;4;25-34;miehet;2019-04-01;uudet saajat;1061
Työttömyysturva;2019;4;35-44;miehet;2019-04-01;uudet saajat;590
Työttömyysturva;2019;4;45-54;miehet;2019-04-01;uudet saajat;498
Työttömyysturva;2019;4;yli 54;miehet;2019-04-01;uudet saajat;343
Työttömyysturva;2019;4;18-24;naiset;2019-04-01;uudet saajat;914
Työttömyysturva;2019;4;25-34;naiset;2019-04-01;uudet saajat;1167
Työttömyysturva;2019;4;35-44;naiset;2019-04-01;uudet saajat;711
Työttömyysturva;2019;4;45-54;naiset;2019-04-01;uudet saajat;466
Työttömyysturva;2019;4;yli 54;naiset;2019-04-01;uudet saajat;317
Työttömyysturva;2019;5;18-24;kaikki;2019-05-01;aiemmin tukea saaneet;24891
Työttömyysturva;2019;5;25-34;kaikki;2019-05-01;aiemmin tukea saaneet;55174
Työttömyysturva;2019;5;35-44;kaikki;2019-05-01;aiemmin tukea saaneet;47482
Työttömyysturva;2019;5;45-54;kaikki;2019-05-01;aiemmin tukea saaneet;44101
Työttömyysturva;2019;5;yli 54;kaikki;2019-05-01;aiemmin tukea saaneet;35771
Työttömyysturva;2019;5;18-24;miehet;2019-05-01;aiemmin tukea saaneet;13719
Työttömyysturva;2019;5;25-34;miehet;2019-05-01;aiemmin tukea saaneet;28940
Työttömyysturva;2019;5;35-44;miehet;2019-05-01;aiemmin tukea saaneet;23445
Työttömyysturva;2019;5;45-54;miehet;2019-05-01;aiemmin tukea saaneet;23002
Työttömyysturva;2019;5;yli 54;miehet;2019-05-01;aiemmin tukea saaneet;19163
Työttömyysturva;2019;5;18-24;naiset;2019-05-01;aiemmin tukea saaneet;11172
Työttömyysturva;2019;5;25-34;naiset;2019-05-01;aiemmin tukea saaneet;26234
Työttömyysturva;2019;5;35-44;naiset;2019-05-01;aiemmin tukea saaneet;24037
Työttömyysturva;2019;5;45-54;naiset;2019-05-01;aiemmin tukea saaneet;21099
Työttömyysturva;2019;5;yli 54;naiset;2019-05-01;aiemmin tukea saaneet;16608
Työttömyysturva;2019;5;18-24;kaikki;2019-05-01;uudet saajat;2031
Työttömyysturva;2019;5;25-34;kaikki;2019-05-01;uudet saajat;2276
Työttömyysturva;2019;5;35-44;kaikki;2019-05-01;uudet saajat;1293
Työttömyysturva;2019;5;45-54;kaikki;2019-05-01;uudet saajat;1008
Työttömyysturva;2019;5;yli 54;kaikki;2019-05-01;uudet saajat;728
Työttömyysturva;2019;5;18-24;miehet;2019-05-01;uudet saajat;1066
Työttömyysturva;2019;5;25-34;miehet;2019-05-01;uudet saajat;1101
Työttömyysturva;2019;5;35-44;miehet;2019-05-01;uudet saajat;623
Työttömyysturva;2019;5;45-54;miehet;2019-05-01;uudet saajat;504
Työttömyysturva;2019;5;yli 54;miehet;2019-05-01;uudet saajat;388
Työttömyysturva;2019;5;18-24;naiset;2019-05-01;uudet saajat;965
Työttömyysturva;2019;5;25-34;naiset;2019-05-01;uudet saajat;1175
Työttömyysturva;2019;5;35-44;naiset;2019-05-01;uudet saajat;670
Työttömyysturva;2019;5;45-54;naiset;2019-05-01;uudet saajat;504
Työttömyysturva;2019;5;yli 54;naiset;2019-05-01;uudet saajat;340
Työttömyysturva;2019;6;18-24;kaikki;2019-06-01;aiemmin tukea saaneet;23128
Työttömyysturva;2019;6;25-34;kaikki;2019-06-01;aiemmin tukea saaneet;52342
Työttömyysturva;2019;6;35-44;kaikki;2019-06-01;aiemmin tukea saaneet;45347
Työttömyysturva;2019;6;45-54;kaikki;2019-06-01;aiemmin tukea saaneet;42284
Työttömyysturva;2019;6;yli 54;kaikki;2019-06-01;aiemmin tukea saaneet;34644
Työttömyysturva;2019;6;18-24;miehet;2019-06-01;aiemmin tukea saaneet;12694
Työttömyysturva;2019;6;25-34;miehet;2019-06-01;aiemmin tukea saaneet;27350
Työttömyysturva;2019;6;35-44;miehet;2019-06-01;aiemmin tukea saaneet;22379
Työttömyysturva;2019;6;45-54;miehet;2019-06-01;aiemmin tukea saaneet;21950
Työttömyysturva;2019;6;yli 54;miehet;2019-06-01;aiemmin tukea saaneet;18540
Työttömyysturva;2019;6;18-24;naiset;2019-06-01;aiemmin tukea saaneet;10434
Työttömyysturva;2019;6;25-34;naiset;2019-06-01;aiemmin tukea saaneet;24992
Työttömyysturva;2019;6;35-44;naiset;2019-06-01;aiemmin tukea saaneet;22968
Työttömyysturva;2019;6;45-54;naiset;2019-06-01;aiemmin tukea saaneet;20334
Työttömyysturva;2019;6;yli 54;naiset;2019-06-01;aiemmin tukea saaneet;16104
Työttömyysturva;2019;6;18-24;kaikki;2019-06-01;uudet saajat;2180
Työttömyysturva;2019;6;25-34;kaikki;2019-06-01;uudet saajat;1912
