etuus;vuosi;kuukausi;ikaluokka;sukupuoli;paiva;variable;val
Työttömyysturva;2019;11;35-44;naiset;2019-11-01;uudet saajat;712
Työttömyysturva;2019;11;45-54;naiset;2019-11-01;uudet saajat;440
Työttömyysturva;2019;11;yli 54;naiset;2019-11-01;uudet saajat;280
Työttömyysturva;2019;12;18-24;kaikki;2019-12-01;aiemmin tukea saaneet;22318
Työttömyysturva;2019;12;25-34;kaikki;2019-12-01;aiemmin tukea saaneet;52029
Työttömyysturva;2019;12;35-44;kaikki;2019-12-01;aiemmin tukea saaneet;45593
Työttömyysturva;2019;12;45-54;kaikki;2019-12-01;aiemmin tukea saaneet;41767
Työttömyysturva;2019;12;yli 54;kaikki;2019-12-01;aiemmin tukea saaneet;33131
Työttömyysturva;2019;12;18-24;miehet;2019-12-01;aiemmin tukea saaneet;12577
Työttömyysturva;2019;12;25-34;miehet;2019-12-01;aiemmin tukea saaneet;27175
Työttömyysturva;2019;12;35-44;miehet;2019-12-01;aiemmin tukea saaneet;22308
Työttömyysturva;2019;12;45-54;miehet;2019-12-01;aiemmin tukea saaneet;21730
Työttömyysturva;2019;12;yli 54;miehet;2019-12-01;aiemmin tukea saaneet;17603
Työttömyysturva;2019;12;18-24;naiset;2019-12-01;aiemmin tukea saaneet;9741
Työttömyysturva;2019;12;25-34;naiset;2019-12-01;aiemmin tukea saaneet;24854
Työttömyysturva;2019;12;35-44;naiset;2019-12-01;aiemmin tukea saaneet;23285
Työttömyysturva;2019;12;45-54;naiset;2019-12-01;aiemmin tukea saaneet;20037
Työttömyysturva;2019;12;yli 54;naiset;2019-12-01;aiemmin tukea saaneet;15528
Työttömyysturva;2019;12;18-24;kaikki;2019-12-01;uudet saajat;1900
Työttömyysturva;2019;12;25-34;kaikki;2019-12-01;uudet saajat;2120
Työttömyysturva;2019;12;35-44;kaikki;2019-12-01;uudet saajat;1317
Työttömyysturva;2019;12;45-54;kaikki;2019-12-01;uudet saajat;931
Työttömyysturva;2019;12;yli 54;kaikki;2019-12-01;uudet saajat;558
Työttömyysturva;2019;12;18-24;miehet;2019-12-01;uudet saajat;1022
Työttömyysturva;2019;12;25-34;miehet;2019-12-01;uudet saajat;1031
Työttömyysturva;2019;12;35-44;miehet;2019-12-01;uudet saajat;607
Työttömyysturva;2019;12;45-54;miehet;2019-12-01;uudet saajat;492
Työttömyysturva;2019;12;yli 54;miehet;2019-12-01;uudet saajat;282
Työttömyysturva;2019;12;18-24;naiset;2019-12-01;uudet saajat;878
Työttömyysturva;2019;12;25-34;naiset;2019-12-01;uudet saajat;1089
Työttömyysturva;2019;12;35-44;naiset;2019-12-01;uudet saajat;710
Työttömyysturva;2019;12;45-54;naiset;2019-12-01;uudet saajat;439
Työttömyysturva;2019;12;yli 54;naiset;2019-12-01;uudet saajat;276
Työttömyysturva;2020;1;18-24;kaikki;2020-01-01;aiemmin tukea saaneet;23617
Työttömyysturva;2020;1;25-34;kaikki;2020-01-01;aiemmin tukea saaneet;53702
Työttömyysturva;2020;1;35-44;kaikki;2020-01-01;aiemmin tukea saaneet;46978
Työttömyysturva;2020;1;45-54;kaikki;2020-01-01;aiemmin tukea saaneet;42617
Työttömyysturva;2020;1;yli 54;kaikki;2020-01-01;aiemmin tukea saaneet;33941
Työttömyysturva;2020;1;18-24;miehet;2020-01-01;aiemmin tukea saaneet;13472
Työttömyysturva;2020;1;25-34;miehet;2020-01-01;aiemmin tukea saaneet;28126
Työttömyysturva;2020;1;35-44;miehet;2020-01-01;aiemmin tukea saaneet;23133
Työttömyysturva;2020;1;45-54;miehet;2020-01-01;aiemmin tukea saaneet;22196
Työttömyysturva;2020;1;yli 54;miehet;2020-01-01;aiemmin tukea saaneet;18098
Työttömyysturva;2020;1;18-24;naiset;2020-01-01;aiemmin tukea saaneet;10145
Työttömyysturva;2020;1;25-34;naiset;2020-01-01;aiemmin tukea saaneet;25576
Työttömyysturva;2020;1;35-44;naiset;2020-01-01;aiemmin tukea saaneet;23845
Työttömyysturva;2020;1;45-54;naiset;2020-01-01;aiemmin tukea saaneet;20421
Työttömyysturva;2020;1;yli 54;naiset;2020-01-01;aiemmin tukea saaneet;15843
Työttömyysturva;2020;1;18-24;kaikki;2020-01-01;uudet saajat;2532
Työttömyysturva;2020;1;25-34;kaikki;2020-01-01;uudet saajat;2565
Työttömyysturva;2020;1;35-44;kaikki;2020-01-01;uudet saajat;1356
Työttömyysturva;2020;1;45-54;kaikki;2020-01-01;uudet saajat;947
Työttömyysturva;2020;1;yli 54;kaikki;2020-01-01;uudet saajat;672
Työttömyysturva;2020;1;18-24;miehet;2020-01-01;uudet saajat;1489
Työttömyysturva;2020;1;25-34;miehet;2020-01-01;uudet saajat;1249
Työttömyysturva;2020;1;35-44;miehet;2020-01-01;uudet saajat;631
Työttömyysturva;2020;1;45-54;miehet;2020-01-01;uudet saajat;513
Työttömyysturva;2020;1;yli 54;miehet;2020-01-01;uudet saajat;369
Työttömyysturva;2020;1;18-24;naiset;2020-01-01;uudet saajat;1043
Työttömyysturva;2020;1;25-34;naiset;2020-01-01;uudet saajat;1316
Työttömyysturva;2020;1;35-44;naiset;2020-01-01;uudet saajat;725
Työttömyysturva;2020;1;45-54;naiset;2020-01-01;uudet saajat;434
Työttömyysturva;2020;1;yli 54;naiset;2020-01-01;uudet saajat;303
Yrittäjien työmarkkinatuki;2020;1;18-24;kaikki;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;25-34;kaikki;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;35-44;kaikki;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;45-54;kaikki;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;yli 54;kaikki;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;18-24;miehet;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;25-34;miehet;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;35-44;miehet;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;45-54;miehet;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;yli 54;miehet;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;18-24;naiset;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;25-34;naiset;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;35-44;naiset;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;45-54;naiset;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;1;yli 54;naiset;2020-01-01;yrittäjien työmarkkinatuen saajat;0
Työttömyysturva;2020;2;18-24;kaikki;2020-02-01;aiemmin tukea saaneet;22616
Työttömyysturva;2020;2;25-34;kaikki;2020-02-01;aiemmin tukea saaneet;52583
Työttömyysturva;2020;2;35-44;kaikki;2020-02-01;aiemmin tukea saaneet;45803
Työttömyysturva;2020;2;45-54;kaikki;2020-02-01;aiemmin tukea saaneet;41863
Työttömyysturva;2020;2;yli 54;kaikki;2020-02-01;aiemmin tukea saaneet;33525
Työttömyysturva;2020;2;18-24;miehet;2020-02-01;aiemmin tukea saaneet;12689
Työttömyysturva;2020;2;25-34;miehet;2020-02-01;aiemmin tukea saaneet;27640
Työttömyysturva;2020;2;35-44;miehet;2020-02-01;aiemmin tukea saaneet;22689
Työttömyysturva;2020;2;45-54;miehet;2020-02-01;aiemmin tukea saaneet;21918
Työttömyysturva;2020;2;yli 54;miehet;2020-02-01;aiemmin tukea saaneet;17917
Työttömyysturva;2020;2;18-24;naiset;2020-02-01;aiemmin tukea saaneet;9927
Työttömyysturva;2020;2;25-34;naiset;2020-02-01;aiemmin tukea saaneet;24943
Työttömyysturva;2020;2;35-44;naiset;2020-02-01;aiemmin tukea saaneet;23114
Työttömyysturva;2020;2;45-54;naiset;2020-02-01;aiemmin tukea saaneet;19945
Työttömyysturva;2020;2;yli 54;naiset;2020-02-01;aiemmin tukea saaneet;15608
Työttömyysturva;2020;2;18-24;kaikki;2020-02-01;uudet saajat;2526
Työttömyysturva;2020;2;25-34;kaikki;2020-02-01;uudet saajat;2556
Työttömyysturva;2020;2;35-44;kaikki;2020-02-01;uudet saajat;1429
Työttömyysturva;2020;2;45-54;kaikki;2020-02-01;uudet saajat;980
Työttömyysturva;2020;2;yli 54;kaikki;2020-02-01;uudet saajat;694
Työttömyysturva;2020;2;18-24;miehet;2020-02-01;uudet saajat;1418
Työttömyysturva;2020;2;25-34;miehet;2020-02-01;uudet saajat;1281
Työttömyysturva;2020;2;35-44;miehet;2020-02-01;uudet saajat;648
Työttömyysturva;2020;2;45-54;miehet;2020-02-01;uudet saajat;498
Työttömyysturva;2020;2;yli 54;miehet;2020-02-01;uudet saajat;382
Työttömyysturva;2020;2;18-24;naiset;2020-02-01;uudet saajat;1108
Työttömyysturva;2020;2;25-34;naiset;2020-02-01;uudet saajat;1275
Työttömyysturva;2020;2;35-44;naiset;2020-02-01;uudet saajat;781
Työttömyysturva;2020;2;45-54;naiset;2020-02-01;uudet saajat;482
Työttömyysturva;2020;2;yli 54;naiset;2020-02-01;uudet saajat;312
Yrittäjien työmarkkinatuki;2020;2;18-24;kaikki;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;25-34;kaikki;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;35-44;kaikki;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;45-54;kaikki;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;yli 54;kaikki;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;18-24;miehet;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;25-34;miehet;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;35-44;miehet;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;45-54;miehet;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;yli 54;miehet;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;18-24;naiset;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;25-34;naiset;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;35-44;naiset;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;45-54;naiset;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;2;yli 54;naiset;2020-02-01;yrittäjien työmarkkinatuen saajat;0
Työttömyysturva;2020;3;18-24;kaikki;2020-03-01;aiemmin tukea saaneet;23957
Työttömyysturva;2020;3;25-34;kaikki;2020-03-01;aiemmin tukea saaneet;54525
Työttömyysturva;2020;3;35-44;kaikki;2020-03-01;aiemmin tukea saaneet;47376
Työttömyysturva;2020;3;45-54;kaikki;2020-03-01;aiemmin tukea saaneet;42854
Työttömyysturva;2020;3;yli 54;kaikki;2020-03-01;aiemmin tukea saaneet;34538
Työttömyysturva;2020;3;18-24;miehet;2020-03-01;aiemmin tukea saaneet;13408
Työttömyysturva;2020;3;25-34;miehet;2020-03-01;aiemmin tukea saaneet;28714
Työttömyysturva;2020;3;35-44;miehet;2020-03-01;aiemmin tukea saaneet;23436
Työttömyysturva;2020;3;45-54;miehet;2020-03-01;aiemmin tukea saaneet;22440
Työttömyysturva;2020;3;yli 54;miehet;2020-03-01;aiemmin tukea saaneet;18424
Työttömyysturva;2020;3;18-24;naiset;2020-03-01;aiemmin tukea saaneet;10549
Työttömyysturva;2020;3;25-34;naiset;2020-03-01;aiemmin tukea saaneet;25811
Työttömyysturva;2020;3;35-44;naiset;2020-03-01;aiemmin tukea saaneet;23940
Työttömyysturva;2020;3;45-54;naiset;2020-03-01;aiemmin tukea saaneet;20414
Työttömyysturva;2020;3;yli 54;naiset;2020-03-01;aiemmin tukea saaneet;16114
Työttömyysturva;2020;3;18-24;kaikki;2020-03-01;uudet saajat;2311
Työttömyysturva;2020;3;25-34;kaikki;2020-03-01;uudet saajat;2684
Työttömyysturva;2020;3;35-44;kaikki;2020-03-01;uudet saajat;1563
Työttömyysturva;2020;3;45-54;kaikki;2020-03-01;uudet saajat;1069
Työttömyysturva;2020;3;yli 54;kaikki;2020-03-01;uudet saajat;750
Työttömyysturva;2020;3;18-24;miehet;2020-03-01;uudet saajat;1274
Työttömyysturva;2020;3;25-34;miehet;2020-03-01;uudet saajat;1316
Työttömyysturva;2020;3;35-44;miehet;2020-03-01;uudet saajat;721
Työttömyysturva;2020;3;45-54;miehet;2020-03-01;uudet saajat;588
Työttömyysturva;2020;3;yli 54;miehet;2020-03-01;uudet saajat;391
Työttömyysturva;2020;3;18-24;naiset;2020-03-01;uudet saajat;1037
Työttömyysturva;2020;3;25-34;naiset;2020-03-01;uudet saajat;1368
Työttömyysturva;2020;3;35-44;naiset;2020-03-01;uudet saajat;842
Työttömyysturva;2020;3;45-54;naiset;2020-03-01;uudet saajat;481
Työttömyysturva;2020;3;yli 54;naiset;2020-03-01;uudet saajat;359
Yrittäjien työmarkkinatuki;2020;3;18-24;kaikki;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;25-34;kaikki;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;35-44;kaikki;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;45-54;kaikki;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;yli 54;kaikki;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;18-24;miehet;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;25-34;miehet;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;35-44;miehet;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;45-54;miehet;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;yli 54;miehet;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;18-24;naiset;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;25-34;naiset;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;35-44;naiset;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;45-54;naiset;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Yrittäjien työmarkkinatuki;2020;3;yli 54;naiset;2020-03-01;yrittäjien työmarkkinatuen saajat;0
Työttömyysturva;2020;4;18-24;kaikki;2020-04-01;aiemmin tukea saaneet;24654
Työttömyysturva;2020;4;25-34;kaikki;2020-04-01;aiemmin tukea saaneet;55453
Työttömyysturva;2020;4;35-44;kaikki;2020-04-01;aiemmin tukea saaneet;47921
Työttömyysturva;2020;4;45-54;kaikki;2020-04-01;aiemmin tukea saaneet;42848
Työttömyysturva;2020;4;yli 54;kaikki;2020-04-01;aiemmin tukea saaneet;34923
Työttömyysturva;2020;4;18-24;miehet;2020-04-01;aiemmin tukea saaneet;13704
Työttömyysturva;2020;4;25-34;miehet;2020-04-01;aiemmin tukea saaneet;29199
Työttömyysturva;2020;4;35-44;miehet;2020-04-01;aiemmin tukea saaneet;23690
Työttömyysturva;2020;4;45-54;miehet;2020-04-01;aiemmin tukea saaneet;22475
Työttömyysturva;2020;4;yli 54;miehet;2020-04-01;aiemmin tukea saaneet;18608
Työttömyysturva;2020;4;18-24;naiset;2020-04-01;aiemmin tukea saaneet;10950
Työttömyysturva;2020;4;25-34;naiset;2020-04-01;aiemmin tukea saaneet;26254
Työttömyysturva;2020;4;35-44;naiset;2020-04-01;aiemmin tukea saaneet;24231
Työttömyysturva;2020;4;45-54;naiset;2020-04-01;aiemmin tukea saaneet;20373
Työttömyysturva;2020;4;yli 54;naiset;2020-04-01;aiemmin tukea saaneet;16315
Työttömyysturva;2020;4;18-24;kaikki;2020-04-01;uudet saajat;5126
Työttömyysturva;2020;4;25-34;kaikki;2020-04-01;uudet saajat;6099
Työttömyysturva;2020;4;35-44;kaikki;2020-04-01;uudet saajat;3068
Työttömyysturva;2020;4;45-54;kaikki;2020-04-01;uudet saajat;1908
Työttömyysturva;2020;4;yli 54;kaikki;2020-04-01;uudet saajat;1167
Työttömyysturva;2020;4;18-24;miehet;2020-04-01;uudet saajat;2163
Työttömyysturva;2020;4;25-34;miehet;2020-04-01;uudet saajat;2933
Työttömyysturva;2020;4;35-44;miehet;2020-04-01;uudet saajat;1600
Työttömyysturva;2020;4;45-54;miehet;2020-04-01;uudet saajat;1047
Työttömyysturva;2020;4;yli 54;miehet;2020-04-01;uudet saajat;669
Työttömyysturva;2020;4;18-24;naiset;2020-04-01;uudet saajat;2963
Työttömyysturva;2020;4;25-34;naiset;2020-04-01;uudet saajat;3166
Työttömyysturva;2020;4;35-44;naiset;2020-04-01;uudet saajat;1468
Työttömyysturva;2020;4;45-54;naiset;2020-04-01;uudet saajat;861
Työttömyysturva;2020;4;yli 54;naiset;2020-04-01;uudet saajat;498
Yrittäjien työmarkkinatuki;2020;4;18-24;kaikki;2020-04-01;yrittäjien työmarkkinatuen saajat;269
Yrittäjien työmarkkinatuki;2020;4;25-34;kaikki;2020-04-01;yrittäjien työmarkkinatuen saajat;1351
Yrittäjien työmarkkinatuki;2020;4;35-44;kaikki;2020-04-01;yrittäjien työmarkkinatuen saajat;2015
Yrittäjien työmarkkinatuki;2020;4;45-54;kaikki;2020-04-01;yrittäjien työmarkkinatuen saajat;2485
Yrittäjien työmarkkinatuki;2020;4;yli 54;kaikki;2020-04-01;yrittäjien työmarkkinatuen saajat;2323
Yrittäjien työmarkkinatuki;2020;4;18-24;miehet;2020-04-01;yrittäjien työmarkkinatuen saajat;102
Yrittäjien työmarkkinatuki;2020;4;25-34;miehet;2020-04-01;yrittäjien työmarkkinatuen saajat;631
Yrittäjien työmarkkinatuki;2020;4;35-44;miehet;2020-04-01;yrittäjien työmarkkinatuen saajat;827
Yrittäjien työmarkkinatuki;2020;4;45-54;miehet;2020-04-01;yrittäjien työmarkkinatuen saajat;1106
Yrittäjien työmarkkinatuki;2020;4;yli 54;miehet;2020-04-01;yrittäjien työmarkkinatuen saajat;998
Yrittäjien työmarkkinatuki;2020;4;18-24;naiset;2020-04-01;yrittäjien työmarkkinatuen saajat;167
Yrittäjien työmarkkinatuki;2020;4;25-34;naiset;2020-04-01;yrittäjien työmarkkinatuen saajat;720
Yrittäjien työmarkkinatuki;2020;4;35-44;naiset;2020-04-01;yrittäjien työmarkkinatuen saajat;1188
Yrittäjien työmarkkinatuki;2020;4;45-54;naiset;2020-04-01;yrittäjien työmarkkinatuen saajat;1379
Yrittäjien työmarkkinatuki;2020;4;yli 54;naiset;2020-04-01;yrittäjien työmarkkinatuen saajat;1325
Työttömyysturva;2020;5;18-24;kaikki;2020-05-01;aiemmin tukea saaneet;27991
Työttömyysturva;2020;5;25-34;kaikki;2020-05-01;aiemmin tukea saaneet;59530
Työttömyysturva;2020;5;35-44;kaikki;2020-05-01;aiemmin tukea saaneet;49984
Työttömyysturva;2020;5;45-54;kaikki;2020-05-01;aiemmin tukea saaneet;43811
Työttömyysturva;2020;5;yli 54;kaikki;2020-05-01;aiemmin tukea saaneet;35571
Työttömyysturva;2020;5;18-24;miehet;2020-05-01;aiemmin tukea saaneet;14851
Työttömyysturva;2020;5;25-34;miehet;2020-05-01;aiemmin tukea saaneet;31115
Työttömyysturva;2020;5;35-44;miehet;2020-05-01;aiemmin tukea saaneet;24767
Työttömyysturva;2020;5;45-54;miehet;2020-05-01;aiemmin tukea saaneet;23035
Työttömyysturva;2020;5;yli 54;miehet;2020-05-01;aiemmin tukea saaneet;18987
Työttömyysturva;2020;5;18-24;naiset;2020-05-01;aiemmin tukea saaneet;13140
Työttömyysturva;2020;5;25-34;naiset;2020-05-01;aiemmin tukea saaneet;28415
Työttömyysturva;2020;5;35-44;naiset;2020-05-01;aiemmin tukea saaneet;25217
Työttömyysturva;2020;5;45-54;naiset;2020-05-01;aiemmin tukea saaneet;20776
Työttömyysturva;2020;5;yli 54;naiset;2020-05-01;aiemmin tukea saaneet;16584
Työttömyysturva;2020;5;18-24;kaikki;2020-05-01;uudet saajat;8065
Työttömyysturva;2020;5;25-34;kaikki;2020-05-01;uudet saajat;9108
Työttömyysturva;2020;5;35-44;kaikki;2020-05-01;uudet saajat;4465
Työttömyysturva;2020;5;45-54;kaikki;2020-05-01;uudet saajat;2838
Työttömyysturva;2020;5;yli 54;kaikki;2020-05-01;uudet saajat;1863
Työttömyysturva;2020;5;18-24;miehet;2020-05-01;uudet saajat;3027
Työttömyysturva;2020;5;25-34;miehet;2020-05-01;uudet saajat;4279
Työttömyysturva;2020;5;35-44;miehet;2020-05-01;uudet saajat;2354
Työttömyysturva;2020;5;45-54;miehet;2020-05-01;uudet saajat;1524
Työttömyysturva;2020;5;yli 54;miehet;2020-05-01;uudet saajat;1006
Työttömyysturva;2020;5;18-24;naiset;2020-05-01;uudet saajat;5038
Työttömyysturva;2020;5;25-34;naiset;2020-05-01;uudet saajat;4829
Työttömyysturva;2020;5;35-44;naiset;2020-05-01;uudet saajat;2111
Työttömyysturva;2020;5;45-54;naiset;2020-05-01;uudet saajat;1314
Työttömyysturva;2020;5;yli 54;naiset;2020-05-01;uudet saajat;857
Yrittäjien työmarkkinatuki;2020;5;18-24;kaikki;2020-05-01;yrittäjien työmarkkinatuen saajat;983
Yrittäjien työmarkkinatuki;2020;5;25-34;kaikki;2020-05-01;yrittäjien työmarkkinatuen saajat;5182
Yrittäjien työmarkkinatuki;2020;5;35-44;kaikki;2020-05-01;yrittäjien työmarkkinatuen saajat;8164
Yrittäjien työmarkkinatuki;2020;5;45-54;kaikki;2020-05-01;yrittäjien työmarkkinatuen saajat;9165
Yrittäjien työmarkkinatuki;2020;5;yli 54;kaikki;2020-05-01;yrittäjien työmarkkinatuen saajat;8023
Yrittäjien työmarkkinatuki;2020;5;18-24;miehet;2020-05-01;yrittäjien työmarkkinatuen saajat;394
Yrittäjien työmarkkinatuki;2020;5;25-34;miehet;2020-05-01;yrittäjien työmarkkinatuen saajat;2475
Yrittäjien työmarkkinatuki;2020;5;35-44;miehet;2020-05-01;yrittäjien työmarkkinatuen saajat;3810
Yrittäjien työmarkkinatuki;2020;5;45-54;miehet;2020-05-01;yrittäjien työmarkkinatuen saajat;4323
Yrittäjien työmarkkinatuki;2020;5;yli 54;miehet;2020-05-01;yrittäjien työmarkkinatuen saajat;3837
Yrittäjien työmarkkinatuki;2020;5;18-24;naiset;2020-05-01;yrittäjien työmarkkinatuen saajat;589
Yrittäjien työmarkkinatuki;2020;5;25-34;naiset;2020-05-01;yrittäjien työmarkkinatuen saajat;2707
Yrittäjien työmarkkinatuki;2020;5;35-44;naiset;2020-05-01;yrittäjien työmarkkinatuen saajat;4354
Yrittäjien työmarkkinatuki;2020;5;45-54;naiset;2020-05-01;yrittäjien työmarkkinatuen saajat;4842
Yrittäjien työmarkkinatuki;2020;5;yli 54;naiset;2020-05-01;yrittäjien työmarkkinatuen saajat;4186
Työttömyysturva;2020;6;18-24;kaikki;2020-06-01;aiemmin tukea saaneet;32723
Työttömyysturva;2020;6;25-34;kaikki;2020-06-01;aiemmin tukea saaneet;65276
Työttömyysturva;2020;6;35-44;kaikki;2020-06-01;aiemmin tukea saaneet;53160
Työttömyysturva;2020;6;45-54;kaikki;2020-06-01;aiemmin tukea saaneet;45706
Työttömyysturva;2020;6;yli 54;kaikki;2020-06-01;aiemmin tukea saaneet;36921
Työttömyysturva;2020;6;18-24;miehet;2020-06-01;aiemmin tukea saaneet;16346
Työttömyysturva;2020;6;25-34;miehet;2020-06-01;aiemmin tukea saaneet;33650
Työttömyysturva;2020;6;35-44;miehet;2020-06-01;aiemmin tukea saaneet;26310
Työttömyysturva;2020;6;45-54;miehet;2020-06-01;aiemmin tukea saaneet;23935
Työttömyysturva;2020;6;yli 54;miehet;2020-06-01;aiemmin tukea saaneet;19670
Työttömyysturva;2020;6;18-24;naiset;2020-06-01;aiemmin tukea saaneet;16377
Työttömyysturva;2020;6;25-34;naiset;2020-06-01;aiemmin tukea saaneet;31626
Työttömyysturva;2020;6;35-44;naiset;2020-06-01;aiemmin tukea saaneet;26850
Työttömyysturva;2020;6;45-54;naiset;2020-06-01;aiemmin tukea saaneet;21771
Työttömyysturva;2020;6;yli 54;naiset;2020-06-01;aiemmin tukea saaneet;17251
Työttömyysturva;2020;6;18-24;kaikki;2020-06-01;uudet saajat;7283
Työttömyysturva;2020;6;25-34;kaikki;2020-06-01;uudet saajat;6716
Työttömyysturva;2020;6;35-44;kaikki;2020-06-01;uudet saajat;3497
Työttömyysturva;2020;6;45-54;kaikki;2020-06-01;uudet saajat;2343
Työttömyysturva;2020;6;yli 54;kaikki;2020-06-01;uudet saajat;1537
Työttömyysturva;2020;6;18-24;miehet;2020-06-01;uudet saajat;3531
Työttömyysturva;2020;6;25-34;miehet;2020-06-01;uudet saajat;3308
Työttömyysturva;2020;6;35-44;miehet;2020-06-01;uudet saajat;1808
Työttömyysturva;2020;6;45-54;miehet;2020-06-01;uudet saajat;1227
Työttömyysturva;2020;6;yli 54;miehet;2020-06-01;uudet saajat;824
Työttömyysturva;2020;6;18-24;naiset;2020-06-01;uudet saajat;3752
Työttömyysturva;2020;6;25-34;naiset;2020-06-01;uudet saajat;3408
Työttömyysturva;2020;6;35-44;naiset;2020-06-01;uudet saajat;1689
Työttömyysturva;2020;6;45-54;naiset;2020-06-01;uudet saajat;1116
Työttömyysturva;2020;6;yli 54;naiset;2020-06-01;uudet saajat;713
Yrittäjien työmarkkinatuki;2020;6;18-24;kaikki;2020-06-01;yrittäjien työmarkkinatuen saajat;917
Yrittäjien työmarkkinatuki;2020;6;25-34;kaikki;2020-06-01;yrittäjien työmarkkinatuen saajat;5085
Yrittäjien työmarkkinatuki;2020;6;35-44;kaikki;2020-06-01;yrittäjien työmarkkinatuen saajat;8177
Yrittäjien työmarkkinatuki;2020;6;45-54;kaikki;2020-06-01;yrittäjien työmarkkinatuen saajat;9167
Yrittäjien työmarkkinatuki;2020;6;yli 54;kaikki;2020-06-01;yrittäjien työmarkkinatuen saajat;8208
Yrittäjien työmarkkinatuki;2020;6;18-24;miehet;2020-06-01;yrittäjien työmarkkinatuen saajat;402
Yrittäjien työmarkkinatuki;2020;6;25-34;miehet;2020-06-01;yrittäjien työmarkkinatuen saajat;2595
Yrittäjien työmarkkinatuki;2020;6;35-44;miehet;2020-06-01;yrittäjien työmarkkinatuen saajat;3975
Yrittäjien työmarkkinatuki;2020;6;45-54;miehet;2020-06-01;yrittäjien työmarkkinatuen saajat;4382
