etuus;vuosi;kuukausi;paiva;alue;variable;val
Työttömyysturva;2019;2;2019-02-01;Pirkanmaa;uudet saajat;893
Työttömyysturva;2019;2;2019-02-01;Pohjanmaa;uudet saajat;210
Työttömyysturva;2019;2;2019-02-01;Pohjois-Karjala;uudet saajat;248
Työttömyysturva;2019;2;2019-02-01;Pohjois-Pohjanmaa;uudet saajat;654
Työttömyysturva;2019;2;2019-02-01;Pohjois-Savo;uudet saajat;356
Työttömyysturva;2019;2;2019-02-01;Päijät-Häme;uudet saajat;351
Työttömyysturva;2019;2;2019-02-01;Satakunta;uudet saajat;270
Työttömyysturva;2019;2;2019-02-01;Uusimaa;uudet saajat;2259
Työttömyysturva;2019;2;2019-02-01;Varsinais-Suomi;uudet saajat;660
Työttömyysturva;2019;3;2019-03-01;Etelä-Karjala;aiemmin tukea saaneet;5250
Työttömyysturva;2019;3;2019-03-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4934
Työttömyysturva;2019;3;2019-03-01;Etelä-Savo;aiemmin tukea saaneet;5364
Työttömyysturva;2019;3;2019-03-01;Kainuu;aiemmin tukea saaneet;2640
Työttömyysturva;2019;3;2019-03-01;Kanta-Häme;aiemmin tukea saaneet;6131
Työttömyysturva;2019;3;2019-03-01;Keski-Pohjanmaa;aiemmin tukea saaneet;2023
Työttömyysturva;2019;3;2019-03-01;Keski-Suomi;aiemmin tukea saaneet;11934
Työttömyysturva;2019;3;2019-03-01;Kymenlaakso;aiemmin tukea saaneet;7838
Työttömyysturva;2019;3;2019-03-01;Lappi;aiemmin tukea saaneet;5561
Työttömyysturva;2019;3;2019-03-01;Pirkanmaa;aiemmin tukea saaneet;21390
Työttömyysturva;2019;3;2019-03-01;Pohjanmaa;aiemmin tukea saaneet;5023
Työttömyysturva;2019;3;2019-03-01;Pohjois-Karjala;aiemmin tukea saaneet;8329
Työttömyysturva;2019;3;2019-03-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;15760
Työttömyysturva;2019;3;2019-03-01;Pohjois-Savo;aiemmin tukea saaneet;8830
Työttömyysturva;2019;3;2019-03-01;Päijät-Häme;aiemmin tukea saaneet;9132
Työttömyysturva;2019;3;2019-03-01;Satakunta;aiemmin tukea saaneet;7344
Työttömyysturva;2019;3;2019-03-01;Uusimaa;aiemmin tukea saaneet;62567
Työttömyysturva;2019;3;2019-03-01;Varsinais-Suomi;aiemmin tukea saaneet;17047
Työttömyysturva;2019;3;2019-03-01;Etelä-Karjala;uudet saajat;160
Työttömyysturva;2019;3;2019-03-01;Etelä-Pohjanmaa;uudet saajat;197
Työttömyysturva;2019;3;2019-03-01;Etelä-Savo;uudet saajat;169
Työttömyysturva;2019;3;2019-03-01;Kainuu;uudet saajat;95
Työttömyysturva;2019;3;2019-03-01;Kanta-Häme;uudet saajat;194
Työttömyysturva;2019;3;2019-03-01;Keski-Pohjanmaa;uudet saajat;71
Työttömyysturva;2019;3;2019-03-01;Keski-Suomi;uudet saajat;458
Työttömyysturva;2019;3;2019-03-01;Kymenlaakso;uudet saajat;223
Työttömyysturva;2019;3;2019-03-01;Lappi;uudet saajat;187
Työttömyysturva;2019;3;2019-03-01;Pirkanmaa;uudet saajat;625
Työttömyysturva;2019;3;2019-03-01;Pohjanmaa;uudet saajat;180
Työttömyysturva;2019;3;2019-03-01;Pohjois-Karjala;uudet saajat;259
Työttömyysturva;2019;3;2019-03-01;Pohjois-Pohjanmaa;uudet saajat;524
Työttömyysturva;2019;3;2019-03-01;Pohjois-Savo;uudet saajat;312
Työttömyysturva;2019;3;2019-03-01;Päijät-Häme;uudet saajat;297
Työttömyysturva;2019;3;2019-03-01;Satakunta;uudet saajat;264
Työttömyysturva;2019;3;2019-03-01;Uusimaa;uudet saajat;2155
Työttömyysturva;2019;3;2019-03-01;Varsinais-Suomi;uudet saajat;634
Työttömyysturva;2019;4;2019-04-01;Etelä-Karjala;aiemmin tukea saaneet;5255
Työttömyysturva;2019;4;2019-04-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4878
Työttömyysturva;2019;4;2019-04-01;Etelä-Savo;aiemmin tukea saaneet;5320
Työttömyysturva;2019;4;2019-04-01;Kainuu;aiemmin tukea saaneet;2621
Työttömyysturva;2019;4;2019-04-01;Kanta-Häme;aiemmin tukea saaneet;6018
Työttömyysturva;2019;4;2019-04-01;Keski-Pohjanmaa;aiemmin tukea saaneet;2000
Työttömyysturva;2019;4;2019-04-01;Keski-Suomi;aiemmin tukea saaneet;11915
Työttömyysturva;2019;4;2019-04-01;Kymenlaakso;aiemmin tukea saaneet;7880
Työttömyysturva;2019;4;2019-04-01;Lappi;aiemmin tukea saaneet;5514
Työttömyysturva;2019;4;2019-04-01;Pirkanmaa;aiemmin tukea saaneet;21307
Työttömyysturva;2019;4;2019-04-01;Pohjanmaa;aiemmin tukea saaneet;4957
Työttömyysturva;2019;4;2019-04-01;Pohjois-Karjala;aiemmin tukea saaneet;8327
Työttömyysturva;2019;4;2019-04-01;Pohjois-Pohjanmaa;aiemmin tukea saaneet;15574
Työttömyysturva;2019;4;2019-04-01;Pohjois-Savo;aiemmin tukea saaneet;8791
Työttömyysturva;2019;4;2019-04-01;Päijät-Häme;aiemmin tukea saaneet;9171
Työttömyysturva;2019;4;2019-04-01;Satakunta;aiemmin tukea saaneet;7182
Työttömyysturva;2019;4;2019-04-01;Uusimaa;aiemmin tukea saaneet;62536
Työttömyysturva;2019;4;2019-04-01;Varsinais-Suomi;aiemmin tukea saaneet;16579
Työttömyysturva;2019;4;2019-04-01;Etelä-Karjala;uudet saajat;165
Työttömyysturva;2019;4;2019-04-01;Etelä-Pohjanmaa;uudet saajat;194
Työttömyysturva;2019;4;2019-04-01;Etelä-Savo;uudet saajat;182
Työttömyysturva;2019;4;2019-04-01;Kainuu;uudet saajat;114
Työttömyysturva;2019;4;2019-04-01;Kanta-Häme;uudet saajat;216
Työttömyysturva;2019;4;2019-04-01;Keski-Pohjanmaa;uudet saajat;89
Työttömyysturva;2019;4;2019-04-01;Keski-Suomi;uudet saajat;407
Työttömyysturva;2019;4;2019-04-01;Kymenlaakso;uudet saajat;223
Työttömyysturva;2019;4;2019-04-01;Lappi;uudet saajat;221
Työttömyysturva;2019;4;2019-04-01;Pirkanmaa;uudet saajat;625
Työttömyysturva;2019;4;2019-04-01;Pohjanmaa;uudet saajat;150
Työttömyysturva;2019;4;2019-04-01;Pohjois-Karjala;uudet saajat;283
Työttömyysturva;2019;4;2019-04-01;Pohjois-Pohjanmaa;uudet saajat;629
Työttömyysturva;2019;4;2019-04-01;Pohjois-Savo;uudet saajat;300
Työttömyysturva;2019;4;2019-04-01;Päijät-Häme;uudet saajat;285
Työttömyysturva;2019;4;2019-04-01;Satakunta;uudet saajat;276
Työttömyysturva;2019;4;2019-04-01;Uusimaa;uudet saajat;2282
Työttömyysturva;2019;4;2019-04-01;Varsinais-Suomi;uudet saajat;566
Työttömyysturva;2019;5;2019-05-01;Etelä-Karjala;aiemmin tukea saaneet;5226
Työttömyysturva;2019;5;2019-05-01;Etelä-Pohjanmaa;aiemmin tukea saaneet;4864
Työttömyysturva;2019;5;2019-05-01;Etelä-Savo;aiemmin tukea saaneet;5266
Työttömyysturva;2019;5;2019-05-01;Kainuu;aiemmin tukea saaneet;2648
Työttömyysturva;2019;5;2019-05-01;Kanta-Häme;aiemmin tukea saaneet;6089
Työttömyysturva;2019;5;2019-05-01;Keski-Pohjanmaa;aiemmin tukea saaneet;2054
Työttömyysturva;2019;5;2019-05-01;Keski-Suomi;aiemmin tukea saaneet;12009
Työttömyysturva;2019;5;2019-05-01;Kymenlaakso;aiemmin tukea saaneet;7835
Työttömyysturva;2019;5;2019-05-01;Lappi;aiemmin tukea saaneet;5620
Työttömyysturva;2019;5;2019-05-01;Pirkanmaa;aiemmin tukea saaneet;21659
Työttömyysturva;2019;5;2019-05-01;Pohjanmaa;aiemmin tukea saaneet;4997
