alue;aikaisempi;myohempi;muutos (%)
Etelä-Karjala;32;32;0,0
Etelä-Pohjanmaa;134;83;-38,1
Etelä-Savo;70;262;274,3
Kainuu;10;17;70,0
Kanta-Häme;75;97;29,3
Keski-Pohjanmaa;45;16;-64,4
Keski-Suomi;242;195;-19,4
Kymenlaakso;39;100;156,4
Lappi;126;242;92,1
Pirkanmaa;200;198;-1,0
Pohjanmaa;418;506;21,1
Pohjois-Karjala;118;82;-30,5
Pohjois-Pohjanmaa;130;196;50,8
Pohjois-Savo;339;421;24,2
Päijät-Häme;85;66;-22,4
Satakunta;26;69;165,4
Uusimaa;1360;1794;31,9
Varsinais-Suomi;297;419;41,1
