alue;aikaisempi;myohempi;muutos (%)
Etelä-Karjala;14;42;200,0
Etelä-Pohjanmaa;32;98;206,2
Etelä-Savo;31;85;174,2
Kainuu;15;13;-13,3
Kanta-Häme;50;92;84,0
Keski-Pohjanmaa;23;57;147,8
Keski-Suomi;179;215;20,1
Kymenlaakso;26;33;26,9
Lappi;55;64;16,4
Pirkanmaa;115;166;44,3
Pohjanmaa;64;327;410,9
Pohjois-Karjala;36;41;13,9
Pohjois-Pohjanmaa;59;101;71,2
Pohjois-Savo;61;39;-36,1
Päijät-Häme;105;122;16,2
Satakunta;16;52;225,0
Uusimaa;737;999;35,5
Varsinais-Suomi;111;184;65,8
