etuus;vuosi;aikatyyppi;viikko;paiva;viikonpaiva;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;paiva;4;2020-01-22;keskiviikko;Koko Suomi;kaikki;kaikki;1504;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;4;2020-01-23;torstai;Koko Suomi;kaikki;kaikki;1250;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;4;2020-01-24;perjantai;Koko Suomi;kaikki;kaikki;1024;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;4;2020-01-25;lauantai;Koko Suomi;kaikki;kaikki;205;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;4;2020-01-26;sunnuntai;Koko Suomi;kaikki;kaikki;340;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-25;maanantai;Koko Suomi;kaikki;kaikki;1317;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-26;tiistai;Koko Suomi;kaikki;kaikki;1394;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-27;keskiviikko;Koko Suomi;kaikki;kaikki;1418;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-28;torstai;Koko Suomi;kaikki;kaikki;1211;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-29;perjantai;Koko Suomi;kaikki;kaikki;1223;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-30;lauantai;Koko Suomi;kaikki;kaikki;207;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;4;2021-01-31;sunnuntai;Koko Suomi;kaikki;kaikki;475;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-01-27;maanantai;Koko Suomi;kaikki;kaikki;1544;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-01-28;tiistai;Koko Suomi;kaikki;kaikki;1306;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-01-29;keskiviikko;Koko Suomi;kaikki;kaikki;1351;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-01-30;torstai;Koko Suomi;kaikki;kaikki;1150;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-01-31;perjantai;Koko Suomi;kaikki;kaikki;1217;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-02-01;lauantai;Koko Suomi;kaikki;kaikki;1861;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;5;2020-02-02;sunnuntai;Koko Suomi;kaikki;kaikki;429;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-01;maanantai;Koko Suomi;kaikki;kaikki;2066;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-02;tiistai;Koko Suomi;kaikki;kaikki;1291;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-03;keskiviikko;Koko Suomi;kaikki;kaikki;1233;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-04;torstai;Koko Suomi;kaikki;kaikki;1063;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-05;perjantai;Koko Suomi;kaikki;kaikki;1002;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-06;lauantai;Koko Suomi;kaikki;kaikki;210;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;5;2021-02-07;sunnuntai;Koko Suomi;kaikki;kaikki;310;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-03;maanantai;Koko Suomi;kaikki;kaikki;1566;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-04;tiistai;Koko Suomi;kaikki;kaikki;1491;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-05;keskiviikko;Koko Suomi;kaikki;kaikki;1311;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-06;torstai;Koko Suomi;kaikki;kaikki;1033;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-07;perjantai;Koko Suomi;kaikki;kaikki;876;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-08;lauantai;Koko Suomi;kaikki;kaikki;209;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;6;2020-02-09;sunnuntai;Koko Suomi;kaikki;kaikki;367;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-08;maanantai;Koko Suomi;kaikki;kaikki;1507;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-09;tiistai;Koko Suomi;kaikki;kaikki;1485;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-10;keskiviikko;Koko Suomi;kaikki;kaikki;1416;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-11;torstai;Koko Suomi;kaikki;kaikki;1177;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-12;perjantai;Koko Suomi;kaikki;kaikki;1032;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-13;lauantai;Koko Suomi;kaikki;kaikki;198;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;6;2021-02-14;sunnuntai;Koko Suomi;kaikki;kaikki;354;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-10;maanantai;Koko Suomi;kaikki;kaikki;1361;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-11;tiistai;Koko Suomi;kaikki;kaikki;1074;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-12;keskiviikko;Koko Suomi;kaikki;kaikki;1088;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-13;torstai;Koko Suomi;kaikki;kaikki;931;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-14;perjantai;Koko Suomi;kaikki;kaikki;789;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-15;lauantai;Koko Suomi;kaikki;kaikki;295;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;7;2020-02-16;sunnuntai;Koko Suomi;kaikki;kaikki;151;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-15;maanantai;Koko Suomi;kaikki;kaikki;1585;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-16;tiistai;Koko Suomi;kaikki;kaikki;1397;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-17;keskiviikko;Koko Suomi;kaikki;kaikki;1197;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-18;torstai;Koko Suomi;kaikki;kaikki;1023;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-19;perjantai;Koko Suomi;kaikki;kaikki;848;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-20;lauantai;Koko Suomi;kaikki;kaikki;367;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;7;2021-02-21;sunnuntai;Koko Suomi;kaikki;kaikki;393;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;8;2020-02-17;maanantai;Koko Suomi;kaikki;kaikki;1467;2021/07/13 10:02:58
