etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2021;viikko;1;Uusimaa;kaikki;kaikki;2596;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;1;Varsinais-Suomi;kaikki;kaikki;637;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Etelä-Karjala;kaikki;kaikki;189;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Etelä-Pohjanmaa;kaikki;kaikki;288;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Etelä-Savo;kaikki;kaikki;213;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Kainuu;kaikki;kaikki;165;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Kanta-Häme;kaikki;kaikki;207;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Keski-Pohjanmaa;kaikki;kaikki;125;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Keski-Suomi;kaikki;kaikki;501;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Kymenlaakso;kaikki;kaikki;229;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Lappi;kaikki;kaikki;314;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Pirkanmaa;kaikki;kaikki;846;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Pohjanmaa;kaikki;kaikki;347;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Pohjois-Karjala;kaikki;kaikki;285;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Pohjois-Pohjanmaa;kaikki;kaikki;886;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Pohjois-Savo;kaikki;kaikki;382;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Päijät-Häme;kaikki;kaikki;293;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Satakunta;kaikki;kaikki;444;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Uusimaa;kaikki;kaikki;2344;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;2;Varsinais-Suomi;kaikki;kaikki;944;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Etelä-Karjala;kaikki;kaikki;234;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Etelä-Pohjanmaa;kaikki;kaikki;220;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Etelä-Savo;kaikki;kaikki;190;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Kainuu;kaikki;kaikki;97;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Kanta-Häme;kaikki;kaikki;218;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Keski-Pohjanmaa;kaikki;kaikki;80;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Keski-Suomi;kaikki;kaikki;403;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Kymenlaakso;kaikki;kaikki;266;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Lappi;kaikki;kaikki;231;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Pirkanmaa;kaikki;kaikki;787;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Pohjanmaa;kaikki;kaikki;229;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Pohjois-Karjala;kaikki;kaikki;230;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Pohjois-Pohjanmaa;kaikki;kaikki;583;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Pohjois-Savo;kaikki;kaikki;336;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Päijät-Häme;kaikki;kaikki;339;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Satakunta;kaikki;kaikki;259;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Uusimaa;kaikki;kaikki;2548;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;2;Varsinais-Suomi;kaikki;kaikki;657;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Etelä-Karjala;kaikki;kaikki;156;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Etelä-Pohjanmaa;kaikki;kaikki;278;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Etelä-Savo;kaikki;kaikki;204;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Kainuu;kaikki;kaikki;107;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Kanta-Häme;kaikki;kaikki;245;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Keski-Pohjanmaa;kaikki;kaikki;91;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Keski-Suomi;kaikki;kaikki;492;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Kymenlaakso;kaikki;kaikki;167;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Lappi;kaikki;kaikki;261;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Pirkanmaa;kaikki;kaikki;924;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Pohjanmaa;kaikki;kaikki;273;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Pohjois-Karjala;kaikki;kaikki;303;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Pohjois-Pohjanmaa;kaikki;kaikki;651;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Pohjois-Savo;kaikki;kaikki;422;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Päijät-Häme;kaikki;kaikki;289;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Satakunta;kaikki;kaikki;346;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Uusimaa;kaikki;kaikki;2334;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;2;Varsinais-Suomi;kaikki;kaikki;960;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Etelä-Karjala;kaikki;kaikki;178;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Etelä-Pohjanmaa;kaikki;kaikki;213;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Etelä-Savo;kaikki;kaikki;249;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Kainuu;kaikki;kaikki;166;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Kanta-Häme;kaikki;kaikki;205;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Keski-Pohjanmaa;kaikki;kaikki;119;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Keski-Suomi;kaikki;kaikki;486;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Kymenlaakso;kaikki;kaikki;219;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Lappi;kaikki;kaikki;344;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Pirkanmaa;kaikki;kaikki;742;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Pohjanmaa;kaikki;kaikki;275;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Pohjois-Karjala;kaikki;kaikki;297;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Pohjois-Pohjanmaa;kaikki;kaikki;940;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Pohjois-Savo;kaikki;kaikki;344;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Päijät-Häme;kaikki;kaikki;324;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Satakunta;kaikki;kaikki;389;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Uusimaa;kaikki;kaikki;2504;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;3;Varsinais-Suomi;kaikki;kaikki;953;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Etelä-Karjala;kaikki;kaikki;203;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Etelä-Pohjanmaa;kaikki;kaikki;230;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Etelä-Savo;kaikki;kaikki;185;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Kainuu;kaikki;kaikki;101;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Kanta-Häme;kaikki;kaikki;209;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Keski-Pohjanmaa;kaikki;kaikki;91;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Keski-Suomi;kaikki;kaikki;426;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Kymenlaakso;kaikki;kaikki;225;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Lappi;kaikki;kaikki;209;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Pirkanmaa;kaikki;kaikki;750;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Pohjanmaa;kaikki;kaikki;264;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Pohjois-Karjala;kaikki;kaikki;288;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Pohjois-Pohjanmaa;kaikki;kaikki;584;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;3;Pohjois-Savo;kaikki;kaikki;368;2021/07/01 10:04:09
