etuus;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;uudet saajat;Työttömyysturva (uudet saajat);5661;-1154;-16,9;-542;-8,7
Työttömyysturva;kaikki saajat;Työttömyysturva (kaikki saajat);236074;+36131;+18,1;-4712;-2
Työttömyysturva;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);209509;+16381;+8,5;-3902;-1,8
Yrittäjien työmarkkinatuki;uudet saajat;Yrittäjien työmarkkinatuki;20904;NA;NA;-268;-1,3
Yleinen asumistuki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);402299;+30084;+8,1;+2959;+0,7
Yleinen asumistuki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);9092;-1549;-14,6;-5303;-36,8
Yleinen asumistuki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);393207;+31633;+8,7;+8262;+2,1
Perustoimeentulotuki;uudet saajat;Perustoimeentulotuki (uudet saajat);9172;-299;-3,2;+232;+2,6
Perustoimeentulotuki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);211059;+3895;+1,9;+5667;+2,8
Perustoimeentulotuki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);7021;-175;-2,4;+80;+1,2
Perustoimeentulotuki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);140695;+4496;+3,3;+3121;+2,3
Perustoimeentulotuki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);201887;+4194;+2,1;+5435;+2,8
Perustoimeentulotuki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);133674;+4671;+3,6;+3041;+2,3
Sairauspäiväraha;kaikki saajat;Sairauspäiväraha (kaikki saajat);52150;-4598;-8,1;+2073;+4,1
Tartuntatautipäiväraha;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);4629;+4616;+35507,7;+1610;+53,3
