"etuus";"vuosi";"kuukausi";"paiva";"variable";"val";"type"
"Perustoimeentulotuki";"2020";"2";"2020-02-01";"uudet saajat";"11512";"Saajat"
"Perustoimeentulotuki";"2020";"2";"2020-02-01";"uudet saajat";"8147";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"2";"2020-02-01";"aiemmin tukea saaneet";"204416";"Saajat"
"Perustoimeentulotuki";"2020";"2";"2020-02-01";"aiemmin tukea saaneet";"132246";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"3";"2020-03-01";"uudet saajat";"11922";"Saajat"
"Perustoimeentulotuki";"2020";"3";"2020-03-01";"uudet saajat";"8634";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"3";"2020-03-01";"aiemmin tukea saaneet";"209459";"Saajat"
"Perustoimeentulotuki";"2020";"3";"2020-03-01";"aiemmin tukea saaneet";"135747";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"4";"2020-04-01";"uudet saajat";"16024";"Saajat"
"Perustoimeentulotuki";"2020";"4";"2020-04-01";"uudet saajat";"11116";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"4";"2020-04-01";"aiemmin tukea saaneet";"216479";"Saajat"
"Perustoimeentulotuki";"2020";"4";"2020-04-01";"aiemmin tukea saaneet";"140196";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"5";"2020-05-01";"uudet saajat";"15069";"Saajat"
"Perustoimeentulotuki";"2020";"5";"2020-05-01";"uudet saajat";"10853";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"5";"2020-05-01";"aiemmin tukea saaneet";"222592";"Saajat"
"Perustoimeentulotuki";"2020";"5";"2020-05-01";"aiemmin tukea saaneet";"144187";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"6";"2020-06-01";"uudet saajat";"18321";"Saajat"
"Perustoimeentulotuki";"2020";"6";"2020-06-01";"uudet saajat";"15482";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"6";"2020-06-01";"aiemmin tukea saaneet";"233506";"Saajat"
"Perustoimeentulotuki";"2020";"6";"2020-06-01";"aiemmin tukea saaneet";"153949";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"7";"2020-07-01";"uudet saajat";"11104";"Saajat"
"Perustoimeentulotuki";"2020";"7";"2020-07-01";"uudet saajat";"9066";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"7";"2020-07-01";"aiemmin tukea saaneet";"233132";"Saajat"
"Perustoimeentulotuki";"2020";"7";"2020-07-01";"aiemmin tukea saaneet";"156680";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"8";"2020-08-01";"uudet saajat";"7093";"Saajat"
"Perustoimeentulotuki";"2020";"8";"2020-08-01";"uudet saajat";"5874";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"8";"2020-08-01";"aiemmin tukea saaneet";"184991";"Saajat"
"Perustoimeentulotuki";"2020";"8";"2020-08-01";"aiemmin tukea saaneet";"124657";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"9";"2020-09-01";"uudet saajat";"7603";"Saajat"
"Perustoimeentulotuki";"2020";"9";"2020-09-01";"uudet saajat";"6009";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"9";"2020-09-01";"aiemmin tukea saaneet";"182578";"Saajat"
"Perustoimeentulotuki";"2020";"9";"2020-09-01";"aiemmin tukea saaneet";"122049";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"10";"2020-10-01";"uudet saajat";"8940";"Saajat"
"Perustoimeentulotuki";"2020";"10";"2020-10-01";"uudet saajat";"6941";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"10";"2020-10-01";"aiemmin tukea saaneet";"196452";"Saajat"
"Perustoimeentulotuki";"2020";"10";"2020-10-01";"aiemmin tukea saaneet";"130633";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"11";"2020-11-01";"uudet saajat";"9172";"Saajat"
"Perustoimeentulotuki";"2020";"11";"2020-11-01";"uudet saajat";"7021";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"11";"2020-11-01";"aiemmin tukea saaneet";"201887";"Saajat"
"Perustoimeentulotuki";"2020";"11";"2020-11-01";"aiemmin tukea saaneet";"133674";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"12";"2020-12-01";"uudet saajat";"9183";"Saajat"
"Perustoimeentulotuki";"2020";"12";"2020-12-01";"uudet saajat";"7167";"Saajakotitaloudet"
"Perustoimeentulotuki";"2020";"12";"2020-12-01";"aiemmin tukea saaneet";"206006";"Saajat"
"Perustoimeentulotuki";"2020";"12";"2020-12-01";"aiemmin tukea saaneet";"136738";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"1";"2021-01-01";"uudet saajat";"7982";"Saajat"
"Perustoimeentulotuki";"2021";"1";"2021-01-01";"uudet saajat";"6424";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"1";"2021-01-01";"aiemmin tukea saaneet";"202486";"Saajat"
"Perustoimeentulotuki";"2021";"1";"2021-01-01";"aiemmin tukea saaneet";"134020";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"2";"2021-02-01";"uudet saajat";"9290";"Saajat"
"Perustoimeentulotuki";"2021";"2";"2021-02-01";"uudet saajat";"7220";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"2";"2021-02-01";"aiemmin tukea saaneet";"205310";"Saajat"
"Perustoimeentulotuki";"2021";"2";"2021-02-01";"aiemmin tukea saaneet";"136258";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"3";"2021-03-01";"uudet saajat";"9372";"Saajat"
"Perustoimeentulotuki";"2021";"3";"2021-03-01";"uudet saajat";"7408";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"3";"2021-03-01";"aiemmin tukea saaneet";"208305";"Saajat"
"Perustoimeentulotuki";"2021";"3";"2021-03-01";"aiemmin tukea saaneet";"138784";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"4";"2021-04-01";"uudet saajat";"8577";"Saajat"
"Perustoimeentulotuki";"2021";"4";"2021-04-01";"uudet saajat";"6752";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"4";"2021-04-01";"aiemmin tukea saaneet";"209913";"Saajat"
"Perustoimeentulotuki";"2021";"4";"2021-04-01";"aiemmin tukea saaneet";"140088";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"5";"2021-05-01";"uudet saajat";"7710";"Saajat"
"Perustoimeentulotuki";"2021";"5";"2021-05-01";"uudet saajat";"6262";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"5";"2021-05-01";"aiemmin tukea saaneet";"206019";"Saajat"
"Perustoimeentulotuki";"2021";"5";"2021-05-01";"aiemmin tukea saaneet";"138099";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"6";"2021-06-01";"uudet saajat";"11717";"Saajat"
"Perustoimeentulotuki";"2021";"6";"2021-06-01";"uudet saajat";"10272";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"6";"2021-06-01";"aiemmin tukea saaneet";"212260";"Saajat"
"Perustoimeentulotuki";"2021";"6";"2021-06-01";"aiemmin tukea saaneet";"143379";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"7";"2021-07-01";"uudet saajat";"8585";"Saajat"
"Perustoimeentulotuki";"2021";"7";"2021-07-01";"uudet saajat";"7291";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"7";"2021-07-01";"aiemmin tukea saaneet";"208557";"Saajat"
"Perustoimeentulotuki";"2021";"7";"2021-07-01";"aiemmin tukea saaneet";"142188";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"8";"2021-08-01";"uudet saajat";"6296";"Saajat"
"Perustoimeentulotuki";"2021";"8";"2021-08-01";"uudet saajat";"5103";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"8";"2021-08-01";"aiemmin tukea saaneet";"166145";"Saajat"
"Perustoimeentulotuki";"2021";"8";"2021-08-01";"aiemmin tukea saaneet";"113514";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"9";"2021-09-01";"uudet saajat";"6837";"Saajat"
"Perustoimeentulotuki";"2021";"9";"2021-09-01";"uudet saajat";"5536";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"9";"2021-09-01";"aiemmin tukea saaneet";"166116";"Saajat"
"Perustoimeentulotuki";"2021";"9";"2021-09-01";"aiemmin tukea saaneet";"112624";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"10";"2021-10-01";"uudet saajat";"7455";"Saajat"
"Perustoimeentulotuki";"2021";"10";"2021-10-01";"uudet saajat";"6133";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"10";"2021-10-01";"aiemmin tukea saaneet";"177792";"Saajat"
"Perustoimeentulotuki";"2021";"10";"2021-10-01";"aiemmin tukea saaneet";"119874";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"11";"2021-11-01";"uudet saajat";"7968";"Saajat"
"Perustoimeentulotuki";"2021";"11";"2021-11-01";"uudet saajat";"6144";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"11";"2021-11-01";"aiemmin tukea saaneet";"183276";"Saajat"
"Perustoimeentulotuki";"2021";"11";"2021-11-01";"aiemmin tukea saaneet";"123496";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"12";"2021-12-01";"uudet saajat";"8102";"Saajat"
"Perustoimeentulotuki";"2021";"12";"2021-12-01";"uudet saajat";"6359";"Saajakotitaloudet"
"Perustoimeentulotuki";"2021";"12";"2021-12-01";"aiemmin tukea saaneet";"186384";"Saajat"
"Perustoimeentulotuki";"2021";"12";"2021-12-01";"aiemmin tukea saaneet";"125646";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"1";"2022-01-01";"uudet saajat";"8378";"Saajat"
"Perustoimeentulotuki";"2022";"1";"2022-01-01";"uudet saajat";"6441";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"1";"2022-01-01";"aiemmin tukea saaneet";"186148";"Saajat"
"Perustoimeentulotuki";"2022";"1";"2022-01-01";"aiemmin tukea saaneet";"124882";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"2";"2022-02-01";"uudet saajat";"8981";"Saajat"
