"etuus";"vuosi";"kuukausi";"paiva";"variable";"val"
"Yleinen asumistuki";"2021";"3";"2021-03-01";"aiemmin tukea 
saaneet ruokakunnat";"395366"
"Yleinen asumistuki";"2021";"4";"2021-04-01";"uudet saajaruokakunnat";"7662"
"Yleinen asumistuki";"2021";"4";"2021-04-01";"aiemmin tukea 
saaneet ruokakunnat";"395827"
"Yleinen asumistuki";"2021";"5";"2021-05-01";"uudet saajaruokakunnat";"6485"
"Yleinen asumistuki";"2021";"5";"2021-05-01";"aiemmin tukea 
saaneet ruokakunnat";"394051"
"Yleinen asumistuki";"2021";"6";"2021-06-01";"uudet saajaruokakunnat";"5917"
"Yleinen asumistuki";"2021";"6";"2021-06-01";"aiemmin tukea 
saaneet ruokakunnat";"384804"
"Yleinen asumistuki";"2021";"7";"2021-07-01";"uudet saajaruokakunnat";"5174"
"Yleinen asumistuki";"2021";"7";"2021-07-01";"aiemmin tukea 
saaneet ruokakunnat";"373173"
"Yleinen asumistuki";"2021";"8";"2021-08-01";"uudet saajaruokakunnat";"6883"
"Yleinen asumistuki";"2021";"8";"2021-08-01";"aiemmin tukea 
saaneet ruokakunnat";"363170"
"Yleinen asumistuki";"2021";"9";"2021-09-01";"uudet saajaruokakunnat";"13165"
"Yleinen asumistuki";"2021";"9";"2021-09-01";"aiemmin tukea 
saaneet ruokakunnat";"359431"
"Yleinen asumistuki";"2021";"10";"2021-10-01";"uudet saajaruokakunnat";"14194"
"Yleinen asumistuki";"2021";"10";"2021-10-01";"aiemmin tukea 
saaneet ruokakunnat";"369301"
"Yleinen asumistuki";"2021";"11";"2021-11-01";"uudet saajaruokakunnat";"8971"
"Yleinen asumistuki";"2021";"11";"2021-11-01";"aiemmin tukea 
saaneet ruokakunnat";"380096"
"Yleinen asumistuki";"2021";"12";"2021-12-01";"uudet saajaruokakunnat";"7596"
"Yleinen asumistuki";"2021";"12";"2021-12-01";"aiemmin tukea 
saaneet ruokakunnat";"384015"
"Yleinen asumistuki";"2022";"1";"2022-01-01";"uudet saajaruokakunnat";"6927"
"Yleinen asumistuki";"2022";"1";"2022-01-01";"aiemmin tukea 
saaneet ruokakunnat";"381993"
"Yleinen asumistuki";"2022";"2";"2022-02-01";"uudet saajaruokakunnat";"6644"
"Yleinen asumistuki";"2022";"2";"2022-02-01";"aiemmin tukea 
saaneet ruokakunnat";"382487"
"Yleinen asumistuki";"2022";"3";"2022-03-01";"uudet saajaruokakunnat";"7206"
"Yleinen asumistuki";"2022";"3";"2022-03-01";"aiemmin tukea 
saaneet ruokakunnat";"381664"
"Yleinen asumistuki";"2022";"4";"2022-04-01";"uudet saajaruokakunnat";"6986"
"Yleinen asumistuki";"2022";"4";"2022-04-01";"aiemmin tukea 
saaneet ruokakunnat";"382149"
"Yleinen asumistuki";"2022";"5";"2022-05-01";"uudet saajaruokakunnat";"5728"
"Yleinen asumistuki";"2022";"5";"2022-05-01";"aiemmin tukea 
saaneet ruokakunnat";"378677"
"Yleinen asumistuki";"2022";"6";"2022-06-01";"uudet saajaruokakunnat";"5822"
"Yleinen asumistuki";"2022";"6";"2022-06-01";"aiemmin tukea 
saaneet ruokakunnat";"369469"
"Yleinen asumistuki";"2022";"7";"2022-07-01";"uudet saajaruokakunnat";"5167"
"Yleinen asumistuki";"2022";"7";"2022-07-01";"aiemmin tukea 
saaneet ruokakunnat";"358117"
"Yleinen asumistuki";"2022";"8";"2022-08-01";"uudet saajaruokakunnat";"6145"
"Yleinen asumistuki";"2022";"8";"2022-08-01";"aiemmin tukea 
saaneet ruokakunnat";"348714"
"Yleinen asumistuki";"2022";"9";"2022-09-01";"uudet saajaruokakunnat";"13627"
"Yleinen asumistuki";"2022";"9";"2022-09-01";"aiemmin tukea 
saaneet ruokakunnat";"346526"
"Yleinen asumistuki";"2022";"10";"2022-10-01";"uudet saajaruokakunnat";"14805"
"Yleinen asumistuki";"2022";"10";"2022-10-01";"aiemmin tukea 
saaneet ruokakunnat";"358436"
"Yleinen asumistuki";"2022";"11";"2022-11-01";"uudet saajaruokakunnat";"9226"
"Yleinen asumistuki";"2022";"11";"2022-11-01";"aiemmin tukea 
saaneet ruokakunnat";"369575"
"Yleinen asumistuki";"2022";"12";"2022-12-01";"uudet saajaruokakunnat";"8124"
"Yleinen asumistuki";"2022";"12";"2022-12-01";"aiemmin tukea 
saaneet ruokakunnat";"374108"
"Yleinen asumistuki";"2023";"1";"2023-01-01";"uudet saajaruokakunnat";"6890"
"Yleinen asumistuki";"2023";"1";"2023-01-01";"aiemmin tukea 
saaneet ruokakunnat";"374238"
"Yleinen asumistuki";"2023";"2";"2023-02-01";"uudet saajaruokakunnat";"8059"
"Yleinen asumistuki";"2023";"2";"2023-02-01";"aiemmin tukea 
saaneet ruokakunnat";"376410"
"Yleinen asumistuki";"2023";"3";"2023-03-01";"uudet saajaruokakunnat";"8328"
"Yleinen asumistuki";"2023";"3";"2023-03-01";"aiemmin tukea 
saaneet ruokakunnat";"378770"
"Yleinen asumistuki";"2023";"4";"2023-04-01";"uudet saajaruokakunnat";"8547"
"Yleinen asumistuki";"2023";"4";"2023-04-01";"aiemmin tukea 
saaneet ruokakunnat";"382768"
"Yleinen asumistuki";"2023";"5";"2023-05-01";"uudet saajaruokakunnat";"6406"
"Yleinen asumistuki";"2023";"5";"2023-05-01";"aiemmin tukea 
saaneet ruokakunnat";"383844"
"Yleinen asumistuki";"2023";"6";"2023-06-01";"uudet saajaruokakunnat";"6859"
"Yleinen asumistuki";"2023";"6";"2023-06-01";"aiemmin tukea 
saaneet ruokakunnat";"376502"
"Yleinen asumistuki";"2023";"7";"2023-07-01";"uudet saajaruokakunnat";"6606"
"Yleinen asumistuki";"2023";"7";"2023-07-01";"aiemmin tukea 
saaneet ruokakunnat";"367076"
"Yleinen asumistuki";"2023";"8";"2023-08-01";"uudet saajaruokakunnat";"8155"
"Yleinen asumistuki";"2023";"8";"2023-08-01";"aiemmin tukea 
saaneet ruokakunnat";"362443"
"Yleinen asumistuki";"2023";"9";"2023-09-01";"uudet saajaruokakunnat";"14881"
"Yleinen asumistuki";"2023";"9";"2023-09-01";"aiemmin tukea 
saaneet ruokakunnat";"363064"
