"toimenpideluokka";"alue";"korvatut_testit_lkm";"viikko";"vuosi";"aikatyyppi";"updated";"paiva"
"Antigeenitutkimus";"Koko Suomi";"54";"16";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-18"
"Antigeenitutkimus";"Koko Suomi";"66";"16";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-17"
"Antigeenitutkimus";"Koko Suomi";"138";"17";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-26"
"Antigeenitutkimus";"Koko Suomi";"76";"17";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-25"
"Antigeenitutkimus";"Koko Suomi";"178";"17";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-24"
"Antigeenitutkimus";"Koko Suomi";"128";"18";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-03"
"Antigeenitutkimus";"Koko Suomi";"135";"18";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-02"
"Antigeenitutkimus";"Koko Suomi";"55";"18";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-01"
"Antigeenitutkimus";"Koko Suomi";"197";"19";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-10"
"Antigeenitutkimus";"Koko Suomi";"394";"19";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-09"
"Antigeenitutkimus";"Koko Suomi";"48";"19";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-08"
"Antigeenitutkimus";"Koko Suomi";"210";"20";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-17"
"Antigeenitutkimus";"Koko Suomi";"199";"20";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-16"
"Antigeenitutkimus";"Koko Suomi";"17";"20";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-15"
"Antigeenitutkimus";"Koko Suomi";"220";"21";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-24"
"Antigeenitutkimus";"Koko Suomi";"117";"21";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-23"
"Antigeenitutkimus";"Koko Suomi";"136";"21";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-22"
"Antigeenitutkimus";"Koko Suomi";"187";"22";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-31"
"Antigeenitutkimus";"Koko Suomi";"158";"22";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-30"
"Antigeenitutkimus";"Koko Suomi";"143";"22";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-29"
"Antigeenitutkimus";"Koko Suomi";"148";"23";"2021";"viikko";"2023/12/26 16:37:42";"2021-06-07"
"Antigeenitutkimus";"Koko Suomi";"170";"23";"2022";"viikko";"2023/12/26 16:37:42";"2022-06-06"
"Antigeenitutkimus";"Koko Suomi";"48";"23";"2023";"viikko";"2023/12/26 16:37:42";"2023-06-05"
"Antigeenitutkimus";"Koko Suomi";"189";"24";"2021";"viikko";"2023/12/26 16:37:42";"2021-06-14"
"Antigeenitutkimus";"Koko Suomi";"157";"24";"2022";"viikko";"2023/12/26 16:37:42";"2022-06-13"
"Antigeenitutkimus";"Koko Suomi";"21";"24";"2023";"viikko";"2023/12/26 16:37:42";"2023-06-12"
"Antigeenitutkimus";"Koko Suomi";"89";"25";"2021";"viikko";"2023/12/26 16:37:42";"2021-06-21"
"Antigeenitutkimus";"Koko Suomi";"75";"25";"2022";"viikko";"2023/12/26 16:37:42";"2022-06-20"
"Antigeenitutkimus";"Koko Suomi";"33";"25";"2023";"viikko";"2023/12/26 16:37:42";"2023-06-19"
"Antigeenitutkimus";"Koko Suomi";"168";"26";"2021";"viikko";"2023/12/26 16:37:42";"2021-06-28"
"Antigeenitutkimus";"Koko Suomi";"85";"26";"2022";"viikko";"2023/12/26 16:37:42";"2022-06-27"
"Antigeenitutkimus";"Koko Suomi";"137";"26";"2023";"viikko";"2023/12/26 16:37:42";"2023-06-26"
"Antigeenitutkimus";"Koko Suomi";"191";"27";"2021";"viikko";"2023/12/26 16:37:42";"2021-07-05"
"Antigeenitutkimus";"Koko Suomi";"561";"27";"2022";"viikko";"2023/12/26 16:37:42";"2022-07-04"
"Antigeenitutkimus";"Koko Suomi";"17";"27";"2023";"viikko";"2023/12/26 16:37:42";"2023-07-03"
"Antigeenitutkimus";"Koko Suomi";"137";"28";"2021";"viikko";"2023/12/26 16:37:42";"2021-07-12"
"Antigeenitutkimus";"Koko Suomi";"81";"28";"2022";"viikko";"2023/12/26 16:37:42";"2022-07-11"
"Antigeenitutkimus";"Koko Suomi";"43";"28";"2023";"viikko";"2023/12/26 16:37:42";"2023-07-10"
"Antigeenitutkimus";"Koko Suomi";"215";"29";"2021";"viikko";"2023/12/26 16:37:42";"2021-07-19"
"Antigeenitutkimus";"Koko Suomi";"78";"29";"2022";"viikko";"2023/12/26 16:37:42";"2022-07-18"
"Antigeenitutkimus";"Koko Suomi";"26";"29";"2023";"viikko";"2023/12/26 16:37:42";"2023-07-17"
"Antigeenitutkimus";"Koko Suomi";"361";"30";"2021";"viikko";"2023/12/26 16:37:42";"2021-07-26"
"Antigeenitutkimus";"Koko Suomi";"72";"30";"2022";"viikko";"2023/12/26 16:37:42";"2022-07-25"
"Antigeenitutkimus";"Koko Suomi";"1";"30";"2023";"viikko";"2023/12/26 16:37:42";"2023-07-24"
"Antigeenitutkimus";"Koko Suomi";"230";"31";"2021";"viikko";"2023/12/26 16:37:42";"2021-08-02"
"Antigeenitutkimus";"Koko Suomi";"501";"31";"2022";"viikko";"2023/12/26 16:37:42";"2022-08-01"
"Antigeenitutkimus";"Koko Suomi";"10";"31";"2023";"viikko";"2023/12/26 16:37:42";"2023-07-31"
"Antigeenitutkimus";"Koko Suomi";"357";"32";"2021";"viikko";"2023/12/26 16:37:42";"2021-08-09"
"Antigeenitutkimus";"Koko Suomi";"933";"32";"2022";"viikko";"2023/12/26 16:37:42";"2022-08-08"
"Antigeenitutkimus";"Koko Suomi";"2";"32";"2023";"viikko";"2023/12/26 16:37:42";"2023-08-07"
"Antigeenitutkimus";"Koko Suomi";"161";"33";"2021";"viikko";"2023/12/26 16:37:42";"2021-08-16"
"Antigeenitutkimus";"Koko Suomi";"177";"33";"2022";"viikko";"2023/12/26 16:37:42";"2022-08-15"
"Antigeenitutkimus";"Koko Suomi";"6";"33";"2023";"viikko";"2023/12/26 16:37:42";"2023-08-14"
"Antigeenitutkimus";"Koko Suomi";"285";"34";"2021";"viikko";"2023/12/26 16:37:42";"2021-08-23"
"Antigeenitutkimus";"Koko Suomi";"137";"34";"2022";"viikko";"2023/12/26 16:37:42";"2022-08-22"
"Antigeenitutkimus";"Koko Suomi";"310";"35";"2021";"viikko";"2023/12/26 16:37:42";"2021-08-30"
"Antigeenitutkimus";"Koko Suomi";"513";"35";"2022";"viikko";"2023/12/26 16:37:42";"2022-08-29"
"Antigeenitutkimus";"Koko Suomi";"18";"35";"2023";"viikko";"2023/12/26 16:37:42";"2023-08-28"
"Antigeenitutkimus";"Koko Suomi";"434";"36";"2021";"viikko";"2023/12/26 16:37:42";"2021-09-06"
"Antigeenitutkimus";"Koko Suomi";"192";"36";"2022";"viikko";"2023/12/26 16:37:42";"2022-09-05"
"Antigeenitutkimus";"Koko Suomi";"5";"36";"2023";"viikko";"2023/12/26 16:37:42";"2023-09-04"
"Antigeenitutkimus";"Koko Suomi";"265";"37";"2021";"viikko";"2023/12/26 16:37:42";"2021-09-13"
"Antigeenitutkimus";"Koko Suomi";"183";"37";"2022";"viikko";"2023/12/26 16:37:42";"2022-09-12"
"Antigeenitutkimus";"Koko Suomi";"1";"37";"2023";"viikko";"2023/12/26 16:37:42";"2023-09-11"
"Antigeenitutkimus";"Koko Suomi";"327";"38";"2021";"viikko";"2023/12/26 16:37:42";"2021-09-20"
