toimenpideluokka,alue,korvatut_testit_lkm,viikko,vuosi,aikatyyppi,updated
Antigeenitutkimus,Koko Suomi,238,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,1,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Savo,1,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,4,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,16,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,4,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,24,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjanmaa,4,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,14,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,3,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,8,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Satakunta,6,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,102,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,45,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Koko Suomi,2516,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Karjala,12,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Pohjanmaa,14,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Savo,6,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kainuu,2,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kanta-Häme,49,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Pohjanmaa,2,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Suomi,59,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kymenlaakso,70,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Lappi,13,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pirkanmaa,240,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjanmaa,9,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Karjala,14,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Pohjanmaa,110,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Savo,19,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Päijät-Häme,86,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Satakunta,65,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Uusimaa,1485,53,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Varsinais-Suomi,233,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Koko Suomi,54,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Kanta-Häme,3,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Keski-Suomi,1,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Kymenlaakso,1,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Lappi,1,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pirkanmaa,4,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjanmaa,2,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjois-Pohjanmaa,1,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Päijät-Häme,1,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Satakunta,2,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Uusimaa,34,53,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Varsinais-Suomi,3,53,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,123,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,3,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Savo,1,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,1,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,10,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,1,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,11,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Karjala,2,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,14,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,6,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,5,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,42,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,25,52,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,440,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Karjala,1,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,23,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Savo,4,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kainuu,1,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,10,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Pohjanmaa,4,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,18,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kymenlaakso,2,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,2,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,18,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjanmaa,3,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,48,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,6,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,8,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Satakunta,24,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,195,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,69,52,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,153,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,13,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,3,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,5,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,19,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,1,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,66,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,46,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Koko Suomi,2282,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Karjala,8,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Pohjanmaa,15,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Savo,5,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kanta-Häme,47,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Suomi,69,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kymenlaakso,37,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Lappi,6,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pirkanmaa,187,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjanmaa,6,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Karjala,18,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Pohjanmaa,90,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Savo,39,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Päijät-Häme,136,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Satakunta,27,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Uusimaa,1292,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Varsinais-Suomi,257,52,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Koko Suomi,10222,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Karjala,190,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Pohjanmaa,115,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Savo,32,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kainuu,14,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kanta-Häme,884,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Pohjanmaa,11,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Suomi,633,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kymenlaakso,116,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Lappi,54,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pirkanmaa,1543,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjanmaa,18,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Karjala,74,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Pohjanmaa,782,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Savo,305,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Päijät-Häme,284,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Satakunta,402,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Uusimaa,4254,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Varsinais-Suomi,443,52,2021,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Koko Suomi,3969,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Karjala,47,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Pohjanmaa,235,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Savo,24,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kainuu,28,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kanta-Häme,256,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Pohjanmaa,46,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Keski-Suomi,100,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Kymenlaakso,87,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Lappi,19,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pirkanmaa,570,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjanmaa,27,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Karjala,74,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Pohjanmaa,804,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Pohjois-Savo,77,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Päijät-Häme,172,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Satakunta,154,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Uusimaa,702,52,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Varsinais-Suomi,542,52,2022,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Koko Suomi,38,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Etelä-Savo,1,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Keski-Pohjanmaa,2,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Keski-Suomi,2,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Kymenlaakso,2,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pirkanmaa,2,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjois-Pohjanmaa,3,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjois-Savo,1,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Päijät-Häme,1,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Satakunta,1,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Uusimaa,21,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Varsinais-Suomi,1,52,2020,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Koko Suomi,39,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Etelä-Pohjanmaa,1,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Kanta-Häme,2,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Keski-Suomi,1,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pirkanmaa,4,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjois-Pohjanmaa,6,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Päijät-Häme,3,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Uusimaa,19,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Varsinais-Suomi,3,52,2021,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Koko Suomi,4,52,2022,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Kymenlaakso,1,52,2022,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Pohjanmaa,1,52,2022,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Uusimaa,1,52,2022,viikko,2023-10-30 12:36:00.098367
Vasta-ainetesti,Varsinais-Suomi,1,52,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,114,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,3,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Savo,1,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kainuu,1,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,1,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,11,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,4,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,10,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjanmaa,3,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Karjala,3,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,22,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,2,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,3,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Satakunta,1,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,29,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,20,51,2020,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,252,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Karjala,4,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,13,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Savo,3,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kainuu,1,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,3,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,19,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kymenlaakso,3,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,1,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,14,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjanmaa,1,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Karjala,1,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,28,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,5,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,3,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Satakunta,4,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,87,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,60,51,2021,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Koko Suomi,490,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Karjala,1,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Etelä-Pohjanmaa,1,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kanta-Häme,4,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Keski-Suomi,2,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Kymenlaakso,1,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Lappi,11,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pirkanmaa,9,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjanmaa,1,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Pohjanmaa,28,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Pohjois-Savo,3,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Päijät-Häme,1,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Satakunta,4,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Uusimaa,345,51,2022,viikko,2023-10-30 12:36:00.098367
Antigeenitutkimus,Varsinais-Suomi,78,51,2022,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Koko Suomi,1421,51,2020,viikko,2023-10-30 12:36:00.098367
Nukleiinihappotutkimus,Etelä-Karjala,8,51,2020,viikko,2023-10-30 12:36:00.098367
