code,values,class,name,description
alue,Lappi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pirkanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pohjanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pohjois-Karjala,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pohjois-Pohjanmaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Pohjois-Savo,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Päijät-Häme,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Satakunta,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Uusimaa,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
alue,Varsinais-Suomi,character,Alue,"Aluejako: Koko Suomi tai maakunta. Maakunta asiakkaan vakituisen asuinkunnan mukainen. Ahvenanmaa ei ole mukana tarkastelussa, koska Ahvenanmaan saaja- ja hakemusmäärät ovat tarkastelluissa etuuksissa selvästi muita maakuntia pienempiä. Perustoimeentulotuen toimeenpano Ahvenanmaan maakunnassa ei kuulu Kelan tehtäviin."
ikaluokka,kaikki,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
ikaluokka,18-24,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
ikaluokka,25-34,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
ikaluokka,35-44,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
ikaluokka,45-54,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
ikaluokka,yli 54,character,Ikäluokka,Ikäluokat: Kaikki tai tietty ikäluokka
sukupuoli,kaikki,character,Sukupuoli,Sukupuoli
sukupuoli,miehet,character,Sukupuoli,Sukupuoli
sukupuoli,naiset,character,Sukupuoli,Sukupuoli
saapuneet_hakemukset,22020,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30698,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,44241,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,37734,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,31779,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26143,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,41882,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,33629,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,27280,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,38389,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,42676,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,32014,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26940,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29451,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,38189,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,33872,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28284,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28227,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,42532,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,40341,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28009,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26466,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,33068,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,35947,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,34061,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,25397,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29235,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,39438,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30456,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,27726,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,24294,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,35501,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,37193,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30056,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,24214,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29413,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,39463,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,31533,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,27037,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,24526,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,35756,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,32649,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,27655,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,23054,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30344,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,34365,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26572,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,25130,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,36319,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,41158,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,16918,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,23088,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26501,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,38989,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,34916,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28814,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
