tyyppi,vuosi,aikatyyppi,kuukausi,viikko,paiva,viikonpaiva,alue,aluetaso,palvelukanava,saatavuusaika_ka,hakemukset_sahkoiset_osuus,puhelinpalvelun_vastausprosentti,puhelinpalvelun_jonotusajan_keskiarvo_min,updated
saatavuusaika_ka,2021,viikko,NA,8,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,palvelupiste,2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,8,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,palvelupiste,4.8,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,8,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,8,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.6,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,8,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,palvelupiste,2.8,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,puhelinpalvelu,3.7,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.9,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.8,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,5,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.5,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.1,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,puhelinpalvelu,3.5,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Yhteyskeskus,yksikkö,puhelinpalvelu,2.8,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Asiakkuuspalvelujen tulosyksikkö,yksikkö,palvelupiste,3.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Eteläinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.5,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Itäinen asiakaspalveluyksikkö,yksikkö,palvelupiste,2.1,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Keskinen asiakaspalveluyksikkö,yksikkö,palvelupiste,5.3,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Läntinen asiakaspalveluyksikkö,yksikkö,palvelupiste,3.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Pohjoinen asiakaspalveluyksikkö,yksikkö,palvelupiste,4.2,NA,NA,NA,2021-03-26 10:04:31
saatavuusaika_ka,2021,viikko,NA,9,NA,NA,Pääkaupunkiseudun asiakaspalveluyksikkö,yksikkö,palvelupiste,2.9,NA,NA,NA,2021-03-26 10:04:31
