etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);7510;-930;-11;+116;+1,6
Työttömyysturva;Koko Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);249426;+37496;+17,7;+11137;+4,7
Työttömyysturva;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);218183;+14693;+7,2;+8630;+4,1
Yrittäjien työmarkkinatuki;Koko Suomi;kaikki;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;23733;NA;NA;+2391;+11,2
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);402804;+26459;+7;+61;0
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);7438;-156;-2,1;+387;+5,5
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);395366;+26615;+7,2;-326;-0,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);9372;-2550;-21,4;+82;+0,9
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);217677;-3704;-1,7;+3077;+1,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);7408;-1226;-14,2;+188;+2,6
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);146192;+1811;+1,3;+2714;+1,9
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);208305;-1154;-0,6;+2995;+1,5
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);138784;+3037;+2,2;+2526;+1,9
Sairauspäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);53348;-907;-1,7;+5667;+11,9
Tartuntatautipäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);16654;+16589;+25521,5;+4812;+40,6
