etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);5448;-1440;-20,9;-213;-3,8
Työttömyysturva;Koko Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);241304;+39325;+19,5;+5230;+2,2
Työttömyysturva;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);213834;+18743;+9,6;+4325;+2,1
Yrittäjien työmarkkinatuki;Koko Suomi;kaikki;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;22022;NA;NA;+1118;+5,3
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);402559;+22892;+6;+260;+0,1
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);7629;-416;-5,2;-1463;-16,1
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);394930;+23308;+6,3;+1723;+0,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);9183;+502;+5,8;+11;+0,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);215189;+11283;+5,5;+4130;+2
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);7167;+757;+11,8;+146;+2,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);143905;+10194;+7,6;+3210;+2,3
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);206006;+10781;+5,5;+4119;+2
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);136738;+9437;+7,4;+3064;+2,3
Sairauspäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);56560;+1414;+2,6;+4410;+8,5
Tartuntatautipäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);8404;+8391;+64546,2;+3775;+81,6
