etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Työttömyysturva;Koko Suomi;kaikki;kaikki;uudet saajat;Työttömyysturva (uudet saajat);5549;-11868;-68,1;-1961;-26,1
Työttömyysturva;Koko Suomi;kaikki;kaikki;kaikki saajat;Työttömyysturva (kaikki saajat);244965;+13068;+5,6;-4461;-1,8
Työttömyysturva;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Työttömyysturva (aiemmin tukea saaneet);215143;+9106;+4,4;-3040;-1,4
Yrittäjien työmarkkinatuki;Koko Suomi;kaikki;kaikki;uudet saajat;Yrittäjien työmarkkinatuki;24273;+15830;+187,5;+540;+2,3
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;kaikki saajaruokakunnat;Yleinen asumistuki (kaikki saajaruokakunnat);403489;+23756;+6,3;+685;+0,2
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;uudet saajaruokakunnat;Yleinen asumistuki (uudet saajaruokakunnat);7662;-810;-9,6;+224;+3
Yleinen asumistuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet ruokakunnat;Yleinen asumistuki (aiemmin tukea saaneet ruokakunnat);395827;+24566;+6,6;+461;+0,1
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);8577;-7447;-46,5;-795;-8,5
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);218490;-14013;-6;+813;+0,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);6752;-4364;-39,3;-656;-8,9
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);146840;-4472;-3;+648;+0,4
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);209913;-6566;-3;+1608;+0,8
Perustoimeentulotuki;Koko Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);140088;-108;-0,1;+1304;+0,9
Sairauspäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);49562;-15536;-23,9;-3786;-7,1
Tartuntatautipäiväraha;Koko Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);14094;+13490;+2233,4;-2560;-15,4
