alue;viikko;saatavuusaika_ka;vuosi;palvelukanava
Pääkaupunkiseudun asiakaspalveluyksikkö;8;7,1;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;9;5,5;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;9;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;9;6,0;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;9;5,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;9;6,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;9;6,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;9;4,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;9;4,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;9;3,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;9;8,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;9;4,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;9;7,4;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;10;8,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;10;5,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;10;5,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;10;6,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;10;7,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;10;7,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;10;5,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;10;5,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;10;3,5;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;10;8,0;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;10;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;10;8,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;11;7,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;11;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;11;4,6;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;11;5,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;11;7,3;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;11;7,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;11;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;11;4,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;11;3,8;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;11;7,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;11;4,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;11;9,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;12;5,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;12;4,8;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;12;4,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;12;3,6;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;12;6,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;12;6,7;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;12;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;12;5,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;12;3,4;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;12;7,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;12;4,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;12;8,8;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;13;4,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;13;4,1;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;13;3,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;13;3,6;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;13;5,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;13;6,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;13;4,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;13;4,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;13;3,5;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;13;6,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;13;4,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;13;8,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;14;4,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;14;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;14;3,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;14;2,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;14;4,4;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;14;6,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;14;4,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;14;4,5;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;14;3,6;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;14;7,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;14;4,1;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;14;9,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;15;5,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;15;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;15;4,0;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;15;3,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;15;4,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;15;7,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;15;5,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;15;4,8;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;15;4,1;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;15;8,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;15;3,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;15;10,4;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;16;8,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;16;4,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;16;6,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;16;5,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;16;4,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;16;8,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;16;6,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;16;6,4;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;16;6,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;16;7,6;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;16;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;16;9,7;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;17;6,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;17;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;17;6,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;17;5,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;17;3,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;17;7,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;17;5,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;17;5,1;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;17;4,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;17;7,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;17;4,4;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;17;9,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;18;6,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;18;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;18;5,8;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;18;5,5;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;18;4,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;18;6,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;18;4,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;18;4,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;18;4,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;18;7,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;18;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;18;6,8;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;19;6,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;19;4,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;19;5,2;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;19;4,6;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;19;4,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;19;7,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;19;4,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;19;4,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;19;4,2;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;19;6,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;19;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;19;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;20;6,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;20;4,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;20;5,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;20;4,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;20;3,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;20;6,6;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;20;5,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;20;4,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;20;4,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;20;6,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;20;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;20;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;21;4,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;21;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;21;4,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;21;4,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;21;2,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;21;6,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;21;5,4;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;21;4,2;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;21;5,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;21;8,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;21;5,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;21;7,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;22;5,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;22;4,1;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;22;5,7;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;22;6,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;22;4,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;22;6,7;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;22;5,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;22;4,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;22;5,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;22;9,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;22;6,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;22;9,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;23;4,0;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;23;3,5;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;23;4,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;23;6,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;23;4,1;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;23;6,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;23;4,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;23;3,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;23;4,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;23;7,6;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;23;5,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;23;7,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;24;4,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;24;4,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;24;3,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;24;6,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;24;3,9;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;24;4,8;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;24;4,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;24;3,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;24;5,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;24;9,0;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;24;5,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;24;7,9;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;25;3,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;25;6,0;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;25;4,8;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;25;7,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;25;5,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;25;3,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;25;4,4;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;25;3,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;25;6,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;25;9,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;25;6,2;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;25;9,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;26;4,5;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;26;5,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;26;5,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;26;7,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;26;4,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;26;3,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;26;3,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;26;3,2;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;26;5,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;26;7,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;26;5,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;26;9,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;27;5,4;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;27;6,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;27;7,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;27;6,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;27;5,1;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;27;4,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;27;4,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;27;3,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;27;5,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;27;6,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;27;5,4;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;27;9,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;28;3,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;28;6,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;28;7,8;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;28;6,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;28;5,1;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;28;4,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;28;3,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;28;3,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;28;5,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;28;6,6;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;28;5,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;28;8,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;29;3,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;29;7,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;29;7,2;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;29;6,7;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;29;5,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;29;4,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;29;3,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;29;3,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;29;3,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;29;6,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;29;4,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;29;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;30;4,4;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;30;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;30;4,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;30;6,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;30;4,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;30;3,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;30;2,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;30;3,0;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;30;4,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;30;4,9;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;30;4,4;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;30;7,1;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;31;3,9;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;31;3,1;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;31;4,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;31;5,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;31;3,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;31;2,7;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;31;2,3;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;31;2,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;31;3,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;31;5,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;31;4,1;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;31;7,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;32;4,0;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;32;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;32;4,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;32;6,1;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;32;4,1;2019;puhelinpalvelu
