alue;viikko;saatavuusaika_ka;vuosi;palvelukanava
Pääkaupunkiseudun asiakaspalveluyksikkö;32;3,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;32;2,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;32;2,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;32;4,4;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;32;5,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;32;3,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;32;8,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;33;3,3;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;33;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;33;4,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;33;5,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;33;4,4;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;33;4,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;33;3,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;33;2,8;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;33;3,6;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;33;5,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;33;4,2;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;33;9,1;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;34;2,4;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;34;4,1;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;34;3,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;34;3,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;34;3,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;34;4,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;34;3,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;34;2,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;34;3,2;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;34;6,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;34;3,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;34;7,9;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;35;2,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;35;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;35;2,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;35;3,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;35;2,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;35;4,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;35;2,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;35;2,4;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;35;3,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;35;5,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;35;3,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;35;7,7;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;36;3,5;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;36;1,9;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;36;3,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;36;3,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;36;2,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;36;5,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;36;3,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;36;2,4;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;36;4,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;36;5,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;36;3,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;36;8,5;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;37;3,4;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;37;1,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;37;2,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;37;2,5;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;37;2,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;37;5,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;37;3,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;37;2,4;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;37;3,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;37;5,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;37;3,3;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;37;8,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;38;1,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;38;1,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;38;1,7;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;38;3,0;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;38;2,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;38;4,5;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;38;3,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;38;2,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;38;3,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;38;6,1;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;38;3,2;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;38;8,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;39;3,2;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;39;2,5;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;39;2,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;39;2,7;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;39;2,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;39;4,6;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;39;3,3;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;39;2,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;39;2,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;39;6,3;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;39;3,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;39;8,2;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;40;3,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;40;3,6;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;40;2,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;40;3,0;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;40;3,2;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;40;4,8;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;40;3,4;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;40;2,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;40;2,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;40;6,1;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;40;4,1;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;40;8,7;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;41;3,9;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;41;4,8;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;41;2,3;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;41;3,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;41;3,4;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;41;5,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;41;3,7;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;41;3,3;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;41;2,6;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;41;6,6;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;41;3,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;41;8,3;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;42;4,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;42;4,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;42;3,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;42;3,8;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;42;3,7;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;42;4,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;42;4,0;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;42;3,2;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;42;2,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;42;6,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;42;4,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;42;8,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;43;3,0;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;43;3,5;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;43;2,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;43;3,5;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;43;3,6;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;43;4,6;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;43;3,9;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;43;2,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;43;3,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;43;7,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;43;4,0;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;43;8,8;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;44;3,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;44;3,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;44;1,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;44;2,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;44;3,1;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;44;4,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;44;3,4;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;44;2,6;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;44;1,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;44;6,5;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;44;3,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;44;9,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;45;2,6;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;45;3,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;45;2,1;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;45;2,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;45;2,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;45;4,6;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;45;3,4;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;45;2,8;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;45;2,1;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;45;6,2;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;45;3,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;45;8,6;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;46;3,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;46;3,9;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;46;2,9;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;46;2,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;46;2,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;46;5,2;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;46;3,6;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;46;3,1;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;46;2,8;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;46;7,0;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;46;3,6;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;46;8,9;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;47;3,8;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;47;4,2;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;47;2,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;47;2,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;47;3,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;47;5,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;47;3,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;47;2,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;47;2,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;47;5,7;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;47;3,5;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;47;8,7;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;48;4,0;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;48;3,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;48;2,4;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;48;2,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;48;2,8;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;48;4,9;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;48;3,6;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;48;2,7;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;48;2,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;48;6,4;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;48;3,9;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;48;9,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;49;5,1;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;49;5,3;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;49;4,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;49;4,2;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;49;4,0;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;49;6,4;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;49;4,1;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;49;3,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;49;4,3;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;49;7,9;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;49;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;49;9,4;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;50;5,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;50;5,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;50;4,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;50;4,3;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;50;4,4;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;50;8,3;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;50;4,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;50;4,2;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;50;4,0;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;50;7,8;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;50;4,7;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;50;10,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;51;11,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;51;5,7;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;51;6,8;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;51;6,9;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;51;7,5;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;51;13,1;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;51;7,2;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;51;5,1;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;51;5,7;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;51;11,1;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;51;8,2;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;51;14,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;52;12,7;2019;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;52;5,4;2019;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;52;6,5;2019;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;52;10,4;2019;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;52;6,9;2019;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;52;11,0;2019;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;52;7,5;2019;palvelupiste
Itäinen asiakaspalveluyksikkö;52;4,9;2019;palvelupiste
Keskinen asiakaspalveluyksikkö;52;5,9;2019;palvelupiste
Läntinen asiakaspalveluyksikkö;52;11,0;2019;palvelupiste
Pohjoinen asiakaspalveluyksikkö;52;9,8;2019;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;52;14,0;2019;palvelupiste
Eteläinen asiakaspalveluyksikkö;1;8,4;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;1;6,2;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;1;6,7;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;1;8,0;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;1;6,9;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;1;9,5;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;1;6,7;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;1;5,0;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;1;5,6;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;1;9,9;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;1;7,2;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;1;9,1;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;2;6,3;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;2;6,1;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;2;5,7;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;2;6,4;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;2;5,8;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;2;9,7;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;2;6,1;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;2;4,7;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;2;5,3;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;2;8,2;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;2;5,8;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;2;10,2;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;3;6,5;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;3;6,5;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;3;6,3;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;3;6,3;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;3;6,9;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;3;10,3;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;3;6,0;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;3;5,3;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;3;5,4;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;3;9,9;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;3;5,9;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;3;12,4;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;4;5,8;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;4;6,0;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;4;5,0;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;4;6,3;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;4;6,3;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;4;10,2;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;4;5,8;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;4;5,3;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;4;5,6;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;4;10,2;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;4;6,0;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;4;11,9;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;5;5,4;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;5;6,5;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;5;3,8;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;5;6,0;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;5;5,3;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;5;10,1;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;5;6,3;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;5;5,6;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;5;5,1;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;5;9,9;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;5;5,5;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;5;12,9;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;6;5,0;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;6;5,7;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;6;3,0;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;6;5,4;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;6;3,5;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;6;9,8;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;6;6,0;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;6;6,3;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;6;5,0;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;6;11,3;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;6;5,5;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;6;11,8;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;7;6,3;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;7;5,9;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;7;3,5;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;7;5,3;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;7;3,6;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;7;10,5;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;7;6,7;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;7;7,1;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;7;5,5;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;7;10,9;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;7;5,6;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;7;11,7;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;8;5,5;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;8;6,8;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;8;3,8;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;8;5,8;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;8;3,5;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;8;9,7;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;8;6,1;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;8;6,8;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;8;4,6;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;8;10,1;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;8;5,4;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;8;11,5;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;9;6,1;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;9;6,7;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;9;4,8;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;9;5,8;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;9;3,1;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;9;9,6;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;9;6,4;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;9;5,7;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;9;4,4;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;9;10,5;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;9;5,6;2020;palvelupiste
Pääkaupunkiseudun asiakaspalveluyksikkö;9;11,1;2020;palvelupiste
Eteläinen asiakaspalveluyksikkö;10;4,4;2020;puhelinpalvelu
Itäinen asiakaspalveluyksikkö;10;5,7;2020;puhelinpalvelu
Keskinen asiakaspalveluyksikkö;10;4,0;2020;puhelinpalvelu
Läntinen asiakaspalveluyksikkö;10;5,1;2020;puhelinpalvelu
Pohjoinen asiakaspalveluyksikkö;10;2,9;2020;puhelinpalvelu
Pääkaupunkiseudun asiakaspalveluyksikkö;10;10,0;2020;puhelinpalvelu
Eteläinen asiakaspalveluyksikkö;10;6,2;2020;palvelupiste
Itäinen asiakaspalveluyksikkö;10;5,5;2020;palvelupiste
Keskinen asiakaspalveluyksikkö;10;3,9;2020;palvelupiste
Läntinen asiakaspalveluyksikkö;10;10,1;2020;palvelupiste
Pohjoinen asiakaspalveluyksikkö;10;6,0;2020;palvelupiste
