etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Perustoimeentulotuki;Päijät-Häme;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);9683;-73;-0,7;-153;-1,6
Perustoimeentulotuki;Päijät-Häme;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);262;-41;-13,5;-51;-16,3
Perustoimeentulotuki;Päijät-Häme;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);6722;+118;+1,8;-108;-1,6
Perustoimeentulotuki;Päijät-Häme;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);9380;+45;+0,5;-83;-0,9
Perustoimeentulotuki;Päijät-Häme;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);6460;+159;+2,5;-57;-0,9
Perustoimeentulotuki;Satakunta;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);264;-136;-34;-29;-9,9
Perustoimeentulotuki;Satakunta;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);5382;-247;-4,4;-96;-1,8
Perustoimeentulotuki;Satakunta;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);214;-54;-20,1;-32;-13
Perustoimeentulotuki;Satakunta;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);3889;-89;-2,2;-92;-2,3
Perustoimeentulotuki;Satakunta;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);5118;-111;-2,1;-67;-1,3
Perustoimeentulotuki;Satakunta;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);3675;-35;-0,9;-60;-1,6
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);2818;-989;-26;-349;-11
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);86118;+3341;+4;-1384;-1,6
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);2253;-327;-12,7;-191;-7,8
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);53548;+3055;+6,1;-951;-1,7
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);83300;+4330;+5,5;-1035;-1,2
Perustoimeentulotuki;Uusimaa;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);51295;+3382;+7,1;-760;-1,5
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;uudet saajat;Perustoimeentulotuki (uudet saajat);669;-335;-33,4;-144;-17,7
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;kaikki saajat;Perustoimeentulotuki (kaikki saajat);15948;-183;-1,1;-337;-2,1
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;uudet saajakotitaloudet;Perustoimeentulotuki (uudet saajakotitaloudet);514;-176;-25,5;-65;-11,2
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;kaikki saajakotitaloudet;Perustoimeentulotuki (kaikki saajakotitaloudet);10470;+119;+1,1;-287;-2,7
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;aiemmin tukea saaneet;Perustoimeentulotuki (aiemmin tukea saaneet);15279;+152;+1;-193;-1,2
Perustoimeentulotuki;Varsinais-Suomi;kaikki;kaikki;aiemmin tukea saaneet kotitaloudet;Perustoimeentulotuki (aiemmin tukea saaneet kotitaloudet);9956;+295;+3,1;-222;-2,2
Sairauspäiväraha;Etelä-Karjala;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1227;-72;-5,5;-116;-8,6
Sairauspäiväraha;Etelä-Pohjanmaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);2095;-219;-9,5;-20;-0,9
Sairauspäiväraha;Etelä-Savo;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1290;-156;-10,8;-197;-13,2
Sairauspäiväraha;Kainuu;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);787;-143;-15,4;-241;-23,4
Sairauspäiväraha;Kanta-Häme;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1749;-262;-13;-3;-0,2
Sairauspäiväraha;Keski-Pohjanmaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);727;-154;-17,5;-188;-20,5
Sairauspäiväraha;Keski-Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);2462;-448;-15,4;-316;-11,4
Sairauspäiväraha;Kymenlaakso;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1746;-243;-12,2;-257;-12,8
Sairauspäiväraha;Lappi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1822;-331;-15,4;-475;-20,7
Sairauspäiväraha;Pirkanmaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);5251;-679;-11,5;-249;-4,5
Sairauspäiväraha;Pohjanmaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1654;-178;-9,7;+11;+0,7
Sairauspäiväraha;Pohjois-Karjala;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1446;-244;-14,4;-210;-12,7
Sairauspäiväraha;Pohjois-Pohjanmaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);4486;-758;-14,5;-938;-17,3
Sairauspäiväraha;Pohjois-Savo;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);2731;-352;-11,4;-360;-11,6
Sairauspäiväraha;Päijät-Häme;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);1988;-86;-4,1;-241;-10,8
Sairauspäiväraha;Satakunta;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);2235;-87;-3,7;-9;-0,4
Sairauspäiväraha;Uusimaa;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);12563;-1453;-10,4;-1153;-8,4
Sairauspäiväraha;Varsinais-Suomi;kaikki;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);5042;-472;-8,6;+195;+4
Tartuntatautipäiväraha;Etelä-Karjala;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);61;+61;NA;+13;+27,1
Tartuntatautipäiväraha;Etelä-Pohjanmaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);329;+329;NA;+84;+34,3
Tartuntatautipäiväraha;Etelä-Savo;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);135;+135;NA;+8;+6,3
Tartuntatautipäiväraha;Kainuu;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);37;+37;NA;+3;+8,8
Tartuntatautipäiväraha;Kanta-Häme;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);188;+188;NA;+18;+10,6
Tartuntatautipäiväraha;Keski-Pohjanmaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);43;+43;NA;-3;-6,5
Tartuntatautipäiväraha;Keski-Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);343;+343;NA;+15;+4,6
Tartuntatautipäiväraha;Kymenlaakso;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);300;+300;NA;+138;+85,2
Tartuntatautipäiväraha;Lappi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);306;+306;NA;-140;-31,4
Tartuntatautipäiväraha;Pirkanmaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);611;+611;NA;+151;+32,8
Tartuntatautipäiväraha;Pohjanmaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);417;+417;NA;-386;-48,1
Tartuntatautipäiväraha;Pohjois-Karjala;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);186;+186;NA;+78;+72,2
Tartuntatautipäiväraha;Pohjois-Pohjanmaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);797;+797;NA;+299;+60
Tartuntatautipäiväraha;Pohjois-Savo;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);183;+180;+6000;-79;-30,2
Tartuntatautipäiväraha;Päijät-Häme;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);330;+330;NA;+188;+132,4
Tartuntatautipäiväraha;Satakunta;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);329;+329;NA;+152;+85,9
Tartuntatautipäiväraha;Uusimaa;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);3727;+3722;+74440;+336;+9,9
Tartuntatautipäiväraha;Varsinais-Suomi;kaikki;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);1061;+1058;+35266,7;+196;+22,7
