etuus;alue;ikaluokka;sukupuoli;variable;rivinimi;saajat;ero_vuosi_kpl;ero_vuosi_pros;ero_kk_kpl;ero_kk_pros
Sairauspäiväraha;Koko Suomi;alle 25;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);3736;-507;-11,9;-510;-12
Sairauspäiväraha;Koko Suomi;25-34;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);9069;-436;-4,6;-747;-7,6
Sairauspäiväraha;Koko Suomi;35-44;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);10444;-1079;-9,4;-712;-6,4
Sairauspäiväraha;Koko Suomi;45-54;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);12277;-2373;-16,2;-1231;-9,1
Sairauspäiväraha;Koko Suomi;yli 54;kaikki;kaikki saajat;Sairauspäiväraha (kaikki saajat);16221;-1928;-10,6;-1613;-9
Tartuntatautipäiväraha;Koko Suomi;alle 25;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);1128;+1127;+112700;-97;-7,9
Tartuntatautipäiväraha;Koko Suomi;25-34;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);2521;+2516;+50320;+265;+11,7
Tartuntatautipäiväraha;Koko Suomi;35-44;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);2611;+2607;+65175;+361;+16
Tartuntatautipäiväraha;Koko Suomi;45-54;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);1987;+1986;+198600;+356;+21,8
Tartuntatautipäiväraha;Koko Suomi;yli 54;kaikki;kaikki saajat;Tartuntatautipäiväraha (kaikki saajat);1327;+1326;+132600;+285;+27,4
